id	guid	telugu	roman	english	pronunciation	register	known_pct	new_words	island	rank	source	raw_rom	flags	notes	unlock_order	unlock_day
S0745	Sab70ce6f3845	నీ పేరు ఏమిటి?	nī pēru ēmiṭi?	What’s your name? (casual)		informal	100				anki	Nī pēru ēmiṭi?			94	7
S0746	Sc9e4cbf40f44	మీరు ఏమి చేస్తున్నారు?	mīru ēmi chēstunnāru?	What are you doing?		respectful	100				anki	Mīru ēmi chēstunnāru?				
S0747	Sd0deeb83d651	నేను నేర్చుకుంటున్నాను.	nēnu nērchukuṇṭunnānu.	I’m learning.			100				anki,book1000	Nēnu nērchukuntunnānu.			235	16
S0748	Sf45a2aac9888	నువ్వు సహాయం చేస్తావా?	nuvvu sahāyaṁ chēstāvā?	Can you help?		informal	100				anki	Nuvvu sahāyaṁ chēstāva?				
S0749	S56a1e6b0a2d1	ఇది చాలా బాగుంది.	idi chālā bāgundi.	This is very good.	IH-dih CHAA-laa BAA-goon-dih		100		Pronouns		anki,book1000	Idi chālā bāgundi.		also: This is very tasty.; It's very good	23	2
S0750	Sf3d1ac96b1fb	నేను మిమ్మల్ని ప్రేమిస్తున్నాను.	nēnu mimmalni prēmistunnānu.	I love you.			100				anki	Nēnu mim’malni prēmistunnānu.				
S0751	S5500434e83d1	చాలా కాలమైంది మిమ్మల్ని చూసి	chālā kālamaindi mimmalni chūsi	Long time no see			100				anki	chaalaa kaalamaiṅdhi mimmalni choosi				
S0752	S6a1c080dedf8	నేను వస్తున్నాను.	nēnu vastunnānu.	I am coming.	NAY-noo VUHS-toon-NAA-noo		100		Pronouns		anki	nEnu vastuMnaanu.			234	16
S0753	S3fc65c99382d	నాకు తెలీదు.	nāku telīdu.	I don't know.	NAA-koo TEH-lay-doo		100		Pronouns		anki	naaku teleedu.			71	5
S0754	S813fd0055103	నేను ఇప్పుడు బిజీగా ఉన్నాను.	nēnu ippuḍu bijīgā unnānu.	I am busy right now.	NAY-noo IHP-poo-doo BIH-zee-gaa OON-naa-noo		100		Pronouns		anki	nEnu ippuDu busy gaa unnaanu.			300	20
S0755	S44f54efe46a2	నేను చేస్తాను.	nēnu chēstānu.	I will do it.	NAY-noo CHASE-taa-noo		100		Pronouns		anki,book1000	nEnu chEstaanu.		also: I do it	63	5
S0756	Sd9fd2ba270d4	నేను తిన్నేసాను.	nēnu tinnēsānu.	I ate already.	NAY-noo TIHN-nay-saa-noo		100		Pronouns		anki	nEnu tinnEsaanu.				
S0757	Sc0db3fb686eb	నువ్వు ఫ్రీగా ఉన్నావా?	nuvvu phrīgā unnāvā?	Are you free?	NOOV-voo FREE-gaa OON-naa-vaa	informal	100		Pronouns		anki	nuvvu free gaa unnaavaa?			758	51
S0758	Sb3874846088b	నువ్వు ఇక్కడికి రా.	nuvvu ikkaḍiki rā.	You come here.	NOOV-voo IHK-kuh-DIH-kih RAA	informal	100		Pronouns		anki	nuvvu ikkaDiki raa.				
S0759	S616b92287cd2	నువ్వు నాకు చెప్పు.	nuvvu nāku cheppu.	You tell me.	NOOV-voo NAA-koo CHEP-poo	informal	100		Pronouns		anki	nuvvu naaku cheppu.			108	8
S0760	S00a41dfd9f8f	నువ్వు కూర్చో.	nuvvu kūrchō.	You sit down.	NOOV-voo KOOR-choh	informal	100		Pronouns		anki	nuvvu kuurchO.			45	3
S0761	S002b46f917bc	ఎక్కడికి వెళ్తున్నారు?	ekkaḍiki veḷtunnāru?	Where are you going?	EK-kuh-DIH-kih VEL-toon-NAA-roo	respectful	100		Questions		anki	ekkaDiki veLtuMnaaru?				
S0762	S11420fa5b046	మీరు కూర్చోండి.	mīru kūrchōṇḍi.	Please sit down.	MAY-roo KOOR-chohn-dih	respectful	100		Pronouns		anki	meeru kuurchOMDi.			45	3
S0763	S193c3ce87696	మీరు లంచ్ చేసారా?	mīru lanch chēsārā?	Did you have lunch?	MAY-roo LUHNCH CHAY-saa-raa	respectful	100		Pronouns		anki	meeru lunch chEsaaraa?				
S0764	S6dc2b35a1474	మీరు లోపలి రండి.	mīru lōpali raṇḍi.	Please come in.	MAY-roo LOH-puh-lih RUHN-dih	respectful	100		Pronouns		anki	meeru lOpali raMDi.			79	6
S0765	S22b08f49f69e	అతను ఇంటికి వెళ్ళాడు.	atanu iṇṭiki veḷḷāḍu.	He went home.	UH-tuh-noo IHN-tih-kih VEL-laa-doo		100		Pronouns		anki	atanu intiki veLLaaDu.				
S0766	S9d07d5f5effd	అతను నిద్రా పోతున్నాడు.	atanu nidrā pōtunnāḍu.	He is sleeping.	UH-tuh-noo NIHD-raa POH-toon-naa-doo		100		Pronouns		anki	atanu nidraa pOtuMnaaDu.				
S0767	Sac1081bedd32	అతను సరి అన్నాడు.	atanu sari annāḍu.	He said okay.	UH-tuh-noo SUH-rih UHN-naa-doo		100		Pronouns		anki	atanu sari annaaDu.			364	25
S0768	S98afa021a72f	ఆయన రేపు వస్తాడు.	āyana rēpu vastāḍu.	He is coming tomorrow.	AA-yuh-nuh RAY-poo VUHCH-staa-doo		100		Pronouns		anki	aayana rEpu vachstaaDu.			132	9
S0769	S2e27109c7a69	ఆయన మంచి మనిషి.	āyana manchi maniṣi.	He is a good person.	AA-yuh-nuh MUHN-chih MUH-nih-shih		100		Pronouns		anki	aayana manchi manishi.			69	5
S0770	Sed078bfea1e5	ఆయన మీటింగ్ లో ఉన్నాడు.	āyana mīṭing lō unnāḍu.	He is in the meeting.	AA-yuh-nuh MEE-ting loh OON-naa-doo		100		Pronouns		anki	aayana meeting lO unnaaDu.				
S0771	Sfb5a62d761ad	ఆమె వంట చేస్తుంది.	āme vaṇṭa chēstundi.	She is cooking.	AA-may VUHN-tuh CHASE-toon-dih		100		Pronouns		anki	aamE vaMTa chEstuMdi.			178	12
S0772	S52cc3eb0f26b	ఆమె ఆఫీస్ కి వెళ్ళింది.	āme āphīs ki veḷḷindi.	She went to the office.	AA-may AW-fiss kih VEL-lihn-dih		100		Pronouns		anki	aamE office ki veLLiMdi.				
S0773	Sb0a7a891f7c6	ఆమె వద్దు అంది.	āme vaddu andi.	She said no.	AA-may VUHD-doo UHN-dih		100		Pronouns		anki	aamE vaddu aMdi.				
S0774	S185c24d64e65	ఆవిడ మా మేనేజర్.	āviḍa mā mēnējar.	She is our manager.	AA-vih-duh MAA MAN-uh-juhr		100		Pronouns		anki	aaviDa maa manager.			444	30
S0775	S2fd8226360b6	ఆవిడ తర్వాత వస్తుంది.	āviḍa tarvāta vastundi.	She will come later.	AA-vih-duh TUHR-vaa-tuh VUHS-toon-dih		100		Pronouns		anki	aaviDa tarvata vastundi.			251	17
S0776	Sf6893cd55fbb	మేము బయటకు వెళ్తున్నాం.	mēmu bayaṭaku veḷtunnāṁ.	We are going out.	MAY-moo BUH-yuh-tuh-koo VEL-toon-naam		100		Pronouns		anki	mEmu bayaTaku veLtuMnaaM.				
S0777	S8e5acc754497	మేము వెళ్ళలేదు.	mēmu veḷḷalēdu.	We didn't go.	MAY-moo VEL-luh-LAY-doo		100		Pronouns		anki	mEmu veLLalEdu.				
S0778	Sbaa86bf5ea2f	మేము ఫినిష్ చేస్తాం.	mēmu phiniṣ chēstāṁ.	We will finish it.	MAY-moo FIH-nish CHASE-taam		100		Pronouns		anki	mEmu finish chEstaaM.				
S0779	S286d9f834f8a	మనము తిందాం.	manamu tindāṁ.	Let's eat.	MUH-nuh-moo TIHN-daam		100		Pronouns		anki	manamu tindaaM.				
S0780	S87b2a812ba86	మనము తర్వాత మాట్లాడదాం.	manamu tarvāta māṭlāḍadāṁ.	Let's talk later.	MUH-nuh-moo TUHR-vaa-tuh MAAT-laad-daam		100		Pronouns		anki	manamu tarvata maaTlaaDdaaM.				
S0781	S3b187262adb3	వాళ్ళు వెయిట్ చేస్తున్నారు.	vāḷḷu veyiṭ chēstunnāru.	They are waiting.	VAHL-loo WAYT CHASE-toon-NAA-roo	respectful	100		Pronouns		anki	vaLLu wait chEstuMnaaru.				
S0782	Scf28da0518ca	వాళ్ళు వెళ్ళిపోయారు.	vāḷḷu veḷḷipōyāru.	They went already.	VAHL-loo VEL-lih-POH-yaa-roo		100		Pronouns		anki	vaLLu veLLipOyaaru.			338	23
S0783	Sb80f8ac36815	వాళ్ళకు తెలీదు.	vāḷḷaku telīdu.	They don't know.	VAHL-luh-koo TEH-lay-doo		100		Pronouns		anki	vaLLaku teleedu.			71	5
S0784	S5671b864a4f5	వాళ్ళు వస్తారు.	vāḷḷu vastāru.	They will come.	VAHL-loo VUHS-taa-roo		100		Pronouns		anki	vaLLu vastaaru.			141	10
S0785	S9a8060e0b72d	ఇది ఏమి?	idi ēmi?	What is this?	IH-dih AY-mih		100		Pronouns		anki	idi Emi?			15	1
S0786	S592e3cb75e4c	ఇది మంచిది.	idi manchidi.	This is good.	IH-dih MUHN-chih-dih		100		Pronouns		anki	idi manchidi.			36	3
S0787	S175d7bbcfe9e	ఇది నా ఫోన్.	idi nā phōn.	This is my phone.	IH-dih NAA FOHN		100		Pronouns		anki	idi naa phone.				
S0788	Sfacdb1a0dbd6	ఇది మా ఆఫీస్.	idi mā āphīs.	This is our office.	IH-dih MAA AW-fiss		100		Pronouns		anki	idi maa office.			334	23
S0789	S3242c0bd3e4e	అది ఏమి?	adi ēmi?	What is that?	UH-dih AY-mih		100		Pronouns		anki	adi Emi?			16	2
S0790	S17ee28caa7a5	అది సరి.	adi sari.	That is correct.	UH-dih SUH-rih		100		Pronouns		anki	adi sari.			39	3
S0791	Sb867550e4089	అది అతని కార్.	adi atani kār.	That is his car.	UH-dih UH-tuh-nih KAR		100		Pronouns		anki	adi atani car.			175	12
S0792	S167546263532	అది చాలా ఎక్కువ.	adi chālā ekkuva.	That is too expensive.	UH-dih CHAA-laa EK-koo-vuh		100		Pronouns		anki	adi chaalaa ekkuva.		also: That is too much.	40	3
S0793	S989603bfe0fe	అది సరి కాదు.	adi sari kādu.	That is not right.	UH-dih SUH-rih KAA-doo		100		Pronouns		anki	adi sari kaadu.			39	3
S0794	Sf6fb7fcf5434	ఇవి చాలా బాగున్నాయి.	ivi chālā bāg unnāyi.	These are very nice.	IH-vih CHAA-laa BAA-goon-NAA-yih		100		Pronouns		anki	ivi chaalaa baagunnaayi.	respaced		223	15
S0795	S040f4e50a36d	ఇవి కొత్తవి.	ivi kottavi.	These are new.	IH-vih KOHT-tuh vih		100		Pronouns		anki	ivi kotta vi.			224	15
S0796	S8d57a30023c6	అవి మీకు.	avi mīku.	Those are for you.	UH-vih MAY-koo		100		Pronouns		anki	avi meeku.			73	5
S0797	S68a21bda835e	అవి పాతవి.	avi pātavi.	Those are old.	UH-vih PAA-tuh vih		100		Pronouns		anki	avi paata vi.			170	12
S0798	S5b8727092662	నాకు చాయ్ కావాలి.	nāku chāy kāvāli.	I want tea.	NAA-koo CHAAY kaa-VAA-lih		100		Pronouns		anki	naaku chaay kaavaali.			159	11
S0799	S410a4731b52a	నాకు నీళ్ళు ఇవ్వండి.	nāku nīḷḷu ivvaṇḍi.	Give me water.	NAA-koo NEEL-loo IHV-vuhn-dih	respectful	100		Pronouns		anki	naaku neeLLu ivvaMDi.			160	11
S0800	S84731a7546d7	నాకు కొంచం సమయం కావాలి.	nāku konchaṁ samayaṁ kāvāli.	I need some time.	NAA-koo KOHN-chuhm suh-MUH-yuhm kaa-VAA-lih		100		Pronouns		anki	naaku konchaM samayaM kaavaali.				
S0801	Sed77b6f67556	నాకు ఏమి అయ్యిందో చెప్పండి.	nāku ēmi ayyindō cheppaṇḍi.	Tell me what happened.	NAA-koo AY-mih EYE-yihn-doh CHEP-puhn-dih	respectful	100		Pronouns		anki	naaku emi ayyindO cheppaMDi.				
S0802	Se9b37dc6d649	నాకు ఒక డౌట్ ఉంది.	nāku oka ḍauṭ undi.	I have a question.	NAA-koo OH-kuh DOWT OON-dih		100		Pronouns		anki	naaku oka doubt undi.			144	10
S0803	Sbd1b9136a67a	ఏమి కావాలి?	ēmi kāvāli?	What do you want?	AY-mih kaa-VAA-lih		100		Questions		anki	Emi kaavaali?			18	2
S0804	S7b28de172b48	నీకు ఇస్తాను.	nīku istānu.	I will give it to you.	NAY-koo IHS-taa-noo	informal	100		Pronouns		anki	neeku istaanu.			88	6
S0805	Sfbd08681a643	ఇది నీకు.	idi nīku.	This is for you.	IH-dih NAY-koo	informal	100		Pronouns		anki	idi neeku.			38	3
S0806	S2130ea638cf3	నీకు అర్థం అయ్యిందా?	nīku arthaṁ ayyindā?	Do you understand?	NAY-koo UHR-thuhm EYE-yihn-daa	informal	100		Pronouns		anki	neeku arthaM ayyiMdaa?				
S0807	S2eb0d0fba239	మీకు ఏమైనా కావాలా?	mīku ēmainā kāvālā?	Do you want anything?	MAY-koo AY-my-naa kaa-VAA-laa		100		Pronouns		anki	meeku eMaina kaavaalaa?				
S0808	Sd430d3072f31	మీకు పంపిస్తాం.	mīku pampistāṁ.	I will send it to you.	MAY-koo PUHM-pihs-taam		100		Pronouns		anki	meeku paMpistaaM.				
S0809	S5956f2e68ae0	ఇది మీకు సర్.	idi mīku sar.	This is for you sir.	IH-dih MAY-koo SIR		100		Pronouns		anki	idi meeku sir.			199	14
S0810	S38ade38c485f	మీకు నచ్చిందా?	mīku nachchindā?	Do you like it?	MAY-koo NUHCH-chihn-daa		100		Pronouns		anki,book1000	meeku nachchiMdaa?		also: Do you like it ?		
S0811	Scf483c6c3229	నా ఫోన్ మోగుతుంది.	nā phōn mōgutundi.	My phone is ringing.	NAA FOHN MOH-goo-toon-dih		100		Pronouns		anki	naa phone mogutuMdi.				
S0812	Sad79c6665a87	నా భార్య తెలుగు.	nā bhārya telugu.	My wife is Telugu.	NAA BHAAR-yuh TEH-loo-goo		100		Pronouns		anki	naa bhaarya Telugu.				
S0813	Sd80434b25a30	నా కార్ బయట ఉంది.	nā kār bayaṭa undi.	My car is outside.	NAA KAR BUH-yuh-tuh OON-dih		100		Pronouns		anki	naa car bayaTa undi.			167	12
S0814	S252817510e21	అది నా ఇల్లు.	adi nā illu.	That is my house.	UH-dih NAA IHL-loo		100		Pronouns		anki	adi naa illu.			33	3
S0815	S95ab5b87102f	ఇది నా మొదటిసారి.	idi nā modaṭi sāri.	This is my first time.	IH-dih NAA MOH-duh-tih-SAA-rih		100		Pronouns		anki	idi naa modaTisaari.	respaced		289	20
S0816	S85fc9464519e	మీ మీటింగ్ మూడు గంటలకు.	mī mīṭing mūḍu gaṇṭalaku.	Your meeting is at three.	MAY MEE-ting MOO-doo GUHN-tuh-luh-koo	respectful	100		Pronouns		anki	mee meeting mUDu gaMTalaku.			155	11
S0817	S11d0563b0be1	మీ తెలుగు బాగుంది.	mī telugu bāgundi.	Your Telugu is good.	MAY TEH-loo-goo BAA-goon-dih	respectful	100		Pronouns		anki	mee Telugu baagundi.				
S0818	S3c494a2df130	మీ అభిప్రాయం ఏమి?	mī abhiprāyaṁ ēmi?	What is your opinion?	MAY UH-bhih-PRAA-yuhm AY-mih	respectful	100		Pronouns		anki	mee abhipraayaM Emi?			283	19
S0819	S9e1eed28b557	మీ భోజనం రెడీ.	mī bhōjanaṁ reḍī.	Your food is ready.	MAY BHOH-juh-nuhm RED-ee	respectful	100		Pronouns		anki	mee bhoojanaM ready.			107	8
S0820	Sc0e2fd2907e9	ఇది మీ బ్యాగ్ ఆ?	idi mī byāg ā?	Is this your bag?	IH-dih MAY BAG AA	respectful	100		Pronouns		anki	idi mee bag aa?			83	6
S0821	S055f0e6d8948	వాళ్ళ ఇల్లు పెద్దది.	vāḷḷa illu peddadi.	Their house is big.	VAHL-luh IHL-loo PED-duh dih		100		Pronouns		anki	vaLLa illu pedda di.			216	15
S0822	S438a0371253b	వాళ్ళ పిల్లలు చిన్నవాళ్ళు.	vāḷḷa pillalu chinnavāḷḷu.	Their children are small.	VAHL-luh PIHL-luh-loo CHIHN-nuh VAHL-loo		100		Pronouns		anki	vaLLa piLLalu chinna vaLLu.			518	35
S0823	Sf485af6049ad	అది వాళ్ళ కార్.	adi vāḷḷa kār.	That is their car.	UH-dih VAHL-luh KAR		100		Pronouns		anki	adi vaLLa car.			167	12
S0824	S19f3d55d1ded	నేను తెలుగు నేర్చుకుంటున్నాను.	nēnu telugu nērchukuṇṭunnānu.	I am learning Telugu.	NAY-noo TEH-loo-goo NAYR-choo-koon-TOO-naa-noo		100		Pronouns		anki	nEnu Telugu nErchukuMTunnaanu.				
S0825	Sef69974e5b56	నేను తర్వాత కాల్ చేస్తాను.	nēnu tarvāta kāl chēstānu.	I will call you later.	NAY-noo TUHR-vaa-tuh KAWL CHASE-taa-noo		100		Pronouns		anki	nEnu tarvata call chEstaanu.			117	8
S0826	Sd3e23daea415	నేను ఇంట్లో ఉన్నాను.	nēnu iṇṭlō unnānu.	I am at home.	NAY-noo IHNT-loh OON-naa-noo		100		Pronouns		anki	nEnu iMTlO unnaanu.			171	12
S0827	Sf4e846c35fed	నాకు ఇది చాలా నచ్చింది.	nāku idi chālā nachchindi.	I like this very much.	NAA-koo IH-dih CHAA-laa NUHCH-chihn-dih		100		Pronouns		anki	naaku idi chaalaa nacchiMdi.			545	37
S0828	S4aeb500c0e1a	నువ్వు లేట్ అయ్యావ్.	nuvvu lēṭ ayyāv.	You are late.	NOOV-voo LAYT EYE-yaav	informal	100		Pronouns		anki	nuvvu late ayyaav.				
S0829	S5ae4ad4ef752	నువ్వు ఇది తీసుకో.	nuvvu idi tīsukō.	You take this.	NOOV-voo IH-dih TAY-soo-koh	informal	100		Pronouns		anki	nuvvu idi teesukO.			72	5
S0830	Seae793c3f9ff	ఎక్కడికి వెళ్ళారు?	ekkaḍiki veḷḷāru?	Where did you go?	EK-kuh-DIH-kih VEL-laa-roo		100		Questions		anki	ekkaDiki veLLaaru?				
S0831	Sd7071099ddf7	మీరు నాకు వెయిట్ చేయండి.	mīru nāku veyiṭ chēyaṇḍi.	Please wait for me.	MAY-roo NAA-koo WAYT CHAY-yuhn-dih	respectful	100		Pronouns		anki	meeru naaku wait chEyaMDi.			333	23
S0832	S410d431c87a8	మీరు ఎప్పుడు వస్తారు?	mīru eppuḍu vastāru?	When will you come?	MAY-roo EP-poo-doo VUHS-taa-roo	respectful	100		Pronouns		anki	meeru eppuDu vastaaru?			132	9
S0833	S223568690068	అతను ఇక్కడ లేడు.	atanu ikkaḍa lēḍu.	He is not here.	UH-tuh-noo IHK-kuh-duh LAY-doo		100		Pronouns		anki	atanu ikkaDa lEDu.			128	9
S0834	Scd927bc1c430	అతను నా ఫ్రెండ్.	atanu nā phreṇḍ.	He is my friend.	UH-tuh-noo NAA FREND		100		Pronouns		anki	atanu naa friend.			217	15
S0835	S7fd823f7ac88	ఆయన నాకు చెప్పాడు.	āyana nāku cheppāḍu.	He told me.	AA-yuh-nuh NAA-koo CHEP-paa-doo		100		Pronouns		anki	aayana naaku cheppaaDu.				
S0836	S6f121b4f3113	ఆయన చాలా మంచోడు.	āyana chālā manchōḍu.	He is very nice.	AA-yuh-nuh CHAA-laa MUHN-choh-doo		100		Pronouns		anki	aayana chaalaa manchodu.				
S0837	Sfcbe9a743b98	ఆమె నాకు కాల్ చేసింది.	āme nāku kāl chēsindi.	She called me.	AA-may NAA-koo KAWL CHAY-sihn-dih		100		Pronouns		anki	aamE naaku call chEsiMdi.			397	27
S0838	Scad684feb80b	ఆమె నా అక్క.	āme nā akka.	She is my sister.	AA-may NAA UHK-kuh		100		Pronouns		anki	aamE naa akka.			48	4
S0839	S1e90fe68fb7c	ఆవిడకు నచ్చడం లేదు.	āviḍaku nachchaḍaṁ lēdu.	She doesn't like it.	AA-vih-duh-koo NUHCH-chuh-duhm LAY-doo		100		Pronouns		anki	aaviDaku nacchaDaM lEdu.			735	49
S0840	Sf9fbaf9b1c1b	మేము అందరం ఇక్కడ ఉన్నాం.	mēmu andaraṁ ikkaḍa unnāṁ.	We are all here.	MAY-moo UHN-duh-ruhm IHK-kuh-duh OON-naam		100		Pronouns		anki	mEmu aMdaraM ikkaDa unnaaM.				
S0841	S3ddfbcb411ea	మేము ఇంకా సమయం కావాలి.	mēmu inkā samayaṁ kāvāli.	We need more time.	MAY-moo IHN-kaa suh-MUH-yuhm kaa-VAA-lih		100		Pronouns		anki	mEmu iMkaa samayaM kaavaali.			97	7
S0842	Scc6ff4a53a37	మా దగ్గర లేదు.	mā daggara lēdu.	We don't have it.	MAA DUHG-guh-ruh LAY-doo		100		Pronouns		anki	maa daggara lEdu.			65	5
S0843	Sd962277d2e2b	మనము ఇప్పుడు స్టార్ట్ చేద్దాం.	manamu ippuḍu sṭārṭ chēddāṁ.	Let's start now.	MUH-nuh-moo IHP-poo-doo START CHAYD-daam		100		Pronouns		anki	manamu ippuDu start chEddaaM.			404	27
S0844	S51257e4bb2fc	మనము అందరం వెళ్ళాలి.	manamu andaraṁ veḷḷāli.	All of us should go.	MUH-nuh-moo UHN-duh-ruhm VEL-laa-lih		100		Pronouns		anki	manamu aMdaraM veLLaali.				
S0845	S8252ab8a7d90	మనము రేపు డిస్కస్ చేద్దాం.	manamu rēpu ḍiskas chēddāṁ.	Let's discuss this tomorrow.	MUH-nuh-moo RAY-poo dih-SKUHS CHAYD-daam		100		Pronouns		anki	manamu rEpu discuss chEddaaM.			403	27
S0846	Sd2226486bcb6	వాళ్ళు బయట ఉన్నారు.	vāḷḷu bayaṭa unnāru.	They are outside.	VAHL-loo BUH-yuh-tuh OON-naa-roo	respectful	100		Pronouns		anki	vaLLu bayaTa unnaaru.			166	12
S0847	S2040d72007ae	వాళ్ళకు ఇంకా తిండి కావాలి.	vāḷḷaku inkā tiṇḍi kāvāli.	They want more food.	VAHL-luh-koo IHN-kaa TIHN-dih kaa-VAA-lih	respectful	100		Pronouns		anki	vaLLaku iMkaa tiMDi kaavaali.			86	6
S0848	Saeb996abfb03	ఇది పని చేయడం లేదు.	idi pani chēyaḍaṁ lēdu.	This is not working.	IH-dih PUH-nih CHAY-yuh-duhm LAY-doo		100		Pronouns		anki	idi pani chEyaDaM lEdu.		also: It is not working.		
S0849	Se61b46aab432	ఇది నాది.	idi nādi.	This is mine.	IH-dih NAA-dih		100		Pronouns		anki	idi naadi.			219	15
S0850	S60f6ede50208	అది నిజమా?	adi nijamā?	Is that true?	UH-dih NIH-juh-maa		100		Pronouns		anki	adi nijamaa?			493	33
S0851	Sd6b0e9bc6638	అది ప్రాబ్లమ్.	adi prāblam.	That is the problem.	UH-dih PRAHB-luhm		100		Pronouns		anki	adi problem.			43	3
S0852	S556f08958b40	ఇవి ఇక్కడ పెట్టు.	ivi ikkaḍa peṭṭu.	Put these here.	IH-vih IHK-kuh-duh PET-too		100		Pronouns		anki	ivi ikkaDa peTTu.			223	15
S0853	S0e71625769f8	ఇవి నా పుస్తకాలు.	ivi nā pustakālu.	These books are mine.	IH-vih NAA POOS-thuh-KAA-loo		100		Pronouns		anki	ivi naa pusthakaalu.				
S0854	S674946c80a99	అవి తీసుకోండి.	avi tīsukōṇḍi.	Take those.	UH-vih TAY-soo-KOHN-dih	respectful	100		Pronouns		anki	avi teesukOMDi.			73	5
S0855	S7c9b69e2d920	ఏమి అయ్యింది?	ēmi ayyindi?	What happened?	AY-mih EYE-yihn-dih		100		Questions		anki	Emi ayyiMdi?			24	2
S0856	Sf319a12d8d70	ఏమి ప్రాబ్లమ్?	ēmi prāblam?	What is the problem?	AY-mih PRAHB-luhm		100		Questions		anki	Emi problem?			43	3
S0857	Sd42792069e84	ఏమి చేయాలి?	ēmi chēyāli?	What should I do?	AY-mih CHAY-yaa-lih		100		Questions		anki	Emi chEyaali?				
S0858	S0f05df74f2a8	ఆయన ఏమి చెప్పాడు?	āyana ēmi cheppāḍu?	What did he say?	AA-yuh-nuh AY-mih CHEP-paa-doo		100		Questions		anki	aayana Emi cheppaaDu?				
S0859	S3f5bbf2add2c	దీనికి ఏమి అంటారు?	dīniki ēmi aṇṭāru?	What is this called?	DEE-nih-kih AY-mih UHN-taa-roo		100		Questions		anki	deeniki Emi aMTaaru?			282	19
S0860	S56e6e2b177fd	ఏంటి విషయం?	ēṇṭi viṣayaṁ?	What's the matter?	EN-tih VIH-shuh-yuhm		100		Questions		anki	enti vishayaM?			384	26
S0861	Sd282342b52bc	ఏంటి జరుగుతుంది?	ēṇṭi jarugutundi?	What's going on?	EN-tih JUH-roo-goo-TOON-dih		100		Questions		anki	enti jarugutuMdi?			100	7
S0862	Scf916dd5460c	ఏంటి అది?	ēṇṭi adi?	What is it?	EN-tih UH-dih		100		Questions		anki	enti adi?			42	3
S0863	S740547454fc7	నీకు ఏంటి అయ్యింది?	nīku ēṇṭi ayyindi?	What's wrong with you?	NAY-koo EN-tih EYE-yihn-dih	informal	100		Questions		anki	neeku enti ayyiMdi?			42	3
S0864	S4afff5d17827	ఆయన ఎవరు?	āyana evaru?	Who is that?	AA-yuh-nuh AY-vuh-roo		100		Questions		anki,book1000	aayana evaru?		also: Who is he ?	46	4
S0865	Se5c0b8152c89	అది ఎవరు చెప్పారు?	adi evaru cheppāru?	Who said that?	UH-dih AY-vuh-roo CHEP-paa-roo		100		Questions		anki	adi evaru cheppaaru?			89	6
S0866	Sc8f6527ff9ec	ఎవరు వస్తున్నారు?	evaru vas tunnāru?	Who is coming?	AY-vuh-roo VUHS-toon-NAA-roo	respectful	100		Questions		anki	evaru vastuMnaaru?	respaced		410	28
S0867	Sfec34fbf6c90	ఎవరు కాల్ చేసారు?	evaru kāl chēsāru?	Who called?	AY-vuh-roo KAWL CHAY-saa-roo	respectful	100		Questions		anki	evaru call chEsaaru?				
S0868	Sc75368c20557	మీ బాస్ ఎవరు?	mī bās evaru?	Who is your boss?	MAY BOSS AY-vuh-roo	respectful	100		Questions		anki	mee boss evaru?			250	17
S0869	Sf5cd50d0602c	బాత్రూమ్ ఎక్కడ?	bātrūm ekkaḍa?	Where is the bathroom?	BATH-room EK-kuh-duh		100		Questions		anki	bathroom ekkaDa?			505	34
S0870	S240a1098f58d	స్టేషన్ ఎక్కడ?	sṭēṣan ekkaḍa?	Where is the station?	STAY-shuhn EK-kuh-duh		100		Questions		anki	station ekkaDa?			452	31
S0871	Secbaaf8d5b47	నా బ్యాగ్ ఎక్కడ?	nā byāg ekkaḍa?	Where is my bag?	NAA BAG EK-kuh-duh		100		Questions		anki	naa bag ekkaDa?			83	6
S0872	Se0afeed044f2	ఎక్కడ పెట్టారు?	ekkaḍa peṭṭāru?	Where did you keep it?	EK-kuh-duh PET-taa-roo		100		Questions		anki	ekkaDa peTTaaru?				
S0873	S9826655ecee6	మీటింగ్ ఎప్పుడు?	mīṭing eppuḍu?	When is the meeting?	MEE-ting EP-poo-doo		100		Questions		anki	meeting eppuDu?			131	9
S0874	S051bca15ce9e	ఎప్పుడు వచ్చారు?	eppuḍu vachchāru?	When did you come?	EP-poo-doo VUHCH-chaa-roo		100		Questions		anki	eppuDu vacchaaru?				
S0875	Sb1d884bc002c	ఎప్పుడు రెడీ అవుతుంది?	eppuḍu reḍī avutundi?	When will it be ready?	EP-poo-doo RED-ee UH-voo-TOON-dih		100		Questions		anki	eppuDu ready avutuMdi?			180	12
S0876	Sb5b0eb5e2a87	ఎప్పుడు బయలుదేరుతారు?	eppuḍu bayaludēru tāru?	When are you leaving?	EP-poo-doo BUY-uh-luh-DAY-roo-taa-roo		100		Questions		anki	eppuDu bayaladErutaaru?	respaced		442	30
S0877	Sada9f1440759	ఇది ఎలా అయ్యింది?	idi elā ayyindi?	How did this happen?	IH-dih EH-laa EYE-yihn-dih		100		Questions		anki	idi elaa ayyiMdi?			80	6
S0878	Sd169f3b585f2	ఇది ఎలా చేయాలి?	idi elā chēyāli?	How do you do this?	IH-dih EH-laa CHAY-yaa-lih		100		Questions		anki	idi elaa chEyaali?				
