guid	te	sense_no	gloss	pos	explain	context_guid	status
W5eb6d4441ec6	నుండే	1	from (that one only)	postposition నుండి with emphatic -ē		Mf8ae7903f203	draft
Wc61a50ce98b7	నేనంటే	1	as for me	pronoun + topic marker	నేను 'I' plus అంటే 'if (one) says', marking the topic. నేనంటే ఇష్టం is 'as for me, (there is) liking' — the standard frame for saying someone likes a person.	M952313ce5074	draft
Wc131b4226612	నేర్చుకుంటూ	1	learning, while learning	progressive participle of నేర్చుకో		Me345949a099e	draft
W734d09de3d15	నేర్చుకోవాలని	1	that (he) should learn	verb	"నేర్చుకో + -ఆలని ""in order to / that one should"""	M0908d6845eea	draft
Wfe9bc29f8e44	పట్టునే	1	right at, staying put at	"""ఇంటి పట్టునే"" = at home and nowhere else"		Md45a97459e69	draft
W66c85615925c	పడుకుంటాడా	1	does he go to bed?	verb	habitual/future, 3sg masc + the -ā question ending	M789395f2da47	draft
Wc41b4fca790c	పనికి	1	to work	noun + case	పని 'work, task' with the dative -కి, marking destination. Note -కి rather than -కు: the choice follows the preceding vowel, with -కి after front vowels like the ి of పని.	Mf59192fd5d1f	draft
Wee26078c04f7	పనిలో	1	at work	noun + case	పని 'work' with the locative -లో.	Mcc07cf468ad2	draft
Wed90f96bfb2e	పనిలోనూ	1	at work too	noun + case + additive	పని 'work' plus the locative -లో plus -నూ 'also'. The -నూ ending pairs across a list: పనిలోనూ ఇంట్లోనూ is 'both at work and at home'.	M9368104310c4	draft
W8268cf72913f	పనులు	1	tasks, things to do	noun (plural)	పని 'work, task' with the plural -లు. The singular means work in general; the plural counts individual tasks.	M25bb1a29b316	draft
Wc994594b7a20	పాటు	1	for (a stretch of time)	postposition	"""రెండు వారాల పాటు"" = for two weeks"	Mbbbb7d4eb1d8	draft
W20137fb3189b	పిల్లిని	1	the cat (as object)	noun + case	పిల్లి 'cat' with the accusative -ని. Animate objects reliably take this ending in Telugu, where an inanimate one might not. Dictionary form: పిల్లి.	Me3678dd86cc1	draft
W3e60ae803251	పెంపుడు	1	pet, domesticated	adjective	"""పెంపుడు జంతువుల దుకాణం"" = pet store"	M07ea382e5598	draft
W7add418d0241	పెట్	1	pet	noun	The English word 'pet', used here in the compound పెట్ షాప్ 'pet shop'. Borrowed compounds like this are usual in urban speech.	M07ea382e5598	draft
W04b698142a98	పెట్టి	1	having put down	verbal participle of పెట్టు		M705be85ecff0	draft
W77bd35f2204b	పెడతాడు	1	he puts, he serves	verb	habitual/future, 3sg masc of పెట్టు	M0fbf39d9b85f	draft
W1b9e3bad6ebc	పొద్దున్నే	1	early in the morning	adverb	పొద్దున 'morning' with the emphatic -ఏ, giving 'in the morning itself', i.e. early. That final -ఏ meaning 'precisely, none other' is the same one in ఇంట్లోనే.	M0f902e9fb9fd	draft
W17dc9900a9b3	పోయాను	1	I went	verb	past, 1sg of పో	M154b314861a3	draft
Wca1f1ad348d2	పోయింది	1	she went / it went	verb	past, 3sg fem-neut of పో	Mca4ae6193d71	draft
Wd002c3e78947	ప్రజలను	1	people (as object)	noun	ప్రజలు in the accusative	M423b6d65259a	draft
Wddaa51eafdef	ప్రతిరోజూ	1	every day	adverb	"ప్రతి ""every"" + రోజు ""day"" + emphatic -ū"	Maf14de3ce522	draft
W5477dc44009b	ప్రతీ	1	every, each	determiner		Mbbdd5bcb2e81	draft
W181ed15c20dd	ప్రయత్నించాను	1	I tried	verb	past, 1sg of ప్రయత్నించు	M8db5cc76b64f	draft
Wb4203cd2eb33	ప్రయత్నించింది	1	she tried	verb	past, 3sg fem of ప్రయత్నించు	M5efe61fbec49	draft
W98e18a345d96	ప్రయత్నిస్తాను	1	I try	verb	ప్రయత్నించు 'to try' with -తాను, first person singular.	M8db5cc76b64f	draft
W96f417856224	ప్రయత్నిస్తుంది	1	she tries	verb	ప్రయత్నించు 'to try' with -తుంది, third person feminine/neuter. What is tried takes the dative: ...చేయడానికి ప్రయత్నిస్తుంది, 'tries to do ...'.	M5efe61fbec49	draft
W8b09796fd65c	ఫ్రాన్స్	1	France	proper noun	The country name in Telugu script, inflecting like any noun: ఫ్రాన్స్‌కు 'to France'.	M7a1fd0c7247a	draft
Wd01476c3bc80	ఫ్రాన్స్‌కు	1	to France	proper noun + case	ఫ్రాన్స్ with the dative -కు marking destination.	M83772bc567b4	draft
Wdddb0bc9a9d0	ఫ్రెంచ్	1	French (the language)	proper noun	The language name borrowed from English. Telugu names languages with this borrowed form in ordinary speech, and pairs them with రావడం 'to come' rather than 'to speak' when talking about ability.	M3a4fc6ec99e8	draft
W92f5931b8c61	ఫ్రెండ్స్	1	friends	noun (English loanword)		M80f643e0f3e3	draft
W716454c39316	ఫ్రెడ్	1	Fred	name		Ma1109e049555	draft
W5c1fb1799b1d	బంధువులా	1	are (they) relatives?	noun + question	బంధువులు 'relatives' plus the question marker.	M15b34115842d	draft
W2b8418f8552b	బంధువులు	1	relatives	noun (plural)	బంధువు 'relative' with the plural -లు. Covers kin generally, without specifying the relationship.	Mf9530400a8d8	draft
W1548911c5410	బూట్లు	1	shoes	noun	the native Telugu word; the stories also use షూలు	Mfcbd2d509080	draft
W78aa13fd753b	బెస్ట్	1	best	adjective	The English word, used here in బెస్ట్ ఫ్రెండ్. This borrowing is at least as common in casual speech as the more literary ప్రాణ స్నేహితురాలు.	Mfc0fc617abdd	draft
W193a0d2f15b8	బోరింగ్గా	1	boringly, as boring	adverb	"English ""boring"" + -గా"	M4c23f3a7efc3	draft
W668351b78da8	బోర్	1	bored, boring	noun (English loanword)	"""బోర్ కొడుతోంది"" = it is boring"	M9368104310c4	draft
W45170ec366c6	బ్రేకఫాస్ట్	1	breakfast	noun (English loanword)		M8103f5ea619c	draft
W618d9eb032f9	బ్రేకులు	1	breaks	noun	"English ""break"" with the Telugu plural -లు"	M4a6944980e04	draft
W0062c5bd2c65	బ్రేక్స్	1	breaks	noun (English loanword, English plural)		M140564b292fe	draft
W79d4de419088	భాషలు	1	languages	noun (plural)	భాష 'language' with the plural -లు.	M4987b661c11b	draft
Wa159277c2443	మందిని	1	people (as object)	counter + case	మంది, the counter used for people, with the accusative -ని. Telugu counts humans with మంది rather than a bare number: చాలా మందిని, 'many people' as an object.	M423b6d65259a	draft
Wc42d48737c04	మరి	1	and then, moreover	conjunction		Ma923edb76519	draft
We26744bbf91c	మరో	1	another, a different	determiner		Me35d761ad098	draft
We7cda23731a4	మాట్లాడడం	1	speaking	verbal noun of మాట్లాడు		M3a4fc6ec99e8	draft
Wd2769c21f2d0	మాట్లాడతారు	1	they speak	verb	మాట్లాడు 'to speak' with -తారు, third person plural habitual.	M4987b661c11b	draft
W79f056c2498f	మాట్లాడినప్పుడు	1	when (he) talks / talked	verb form	మాట్లాడు 'to speak' with the past participle -ిన and అప్పుడు 'at the time'. Telugu builds 'when X' clauses this way rather than with a conjunction — the -ిన form is not really past here, it simply marks the event the timing hangs on.	M61d853bc7ae6	draft
Wd4516048a296	మాట్లాడేటప్పుడు	1	when (he) talks	verb	"""at the time of speaking"", from మాట్లాడు"	M61d853bc7ae6	draft
W4ad4f07ca052	మైక్	1	Mike (name)	proper noun	The English name Mike written in Telugu script, so the sound is preserved rather than the spelling. Names are transliterated in this project rather than left in Latin letters, which means they inflect like any Telugu noun: మైక్‌కి 'to Mike'.	M98a83054b2b4	draft
Wc1bf07f968b4	మొదట	1	first, at first	adverb	Marks the first item in a sequence of events. Pairs with తర్వాత 'afterwards, then'.	M5efe61fbec49	draft
W28807c73efb7	మొదలవుతుందా	1	does it start?	verb + question	మొదలవుతుంది 'it starts' plus the question marker. The final -ఆ is Telugu's yes/no question marker: attach it to the end of a statement and the word order does not change at all.	M96b243709e02	draft
We1941d2a764b	మొదలవుతుంది	1	(it) begins / starts	verb	మొదలు 'beginning' with అవుతుంది '(it) becomes' — Telugu forms many verbs by pairing a noun with అవు 'become' or చేయి 'do'. The -ుంది ending is third person singular for a non-masculine subject, which is why 'work' takes it here.	M627972907910	draft
W51aada42fdaf	మొదలవ్వదు	1	(it) doesn't start	verb (negative)	The negative of మొదలవుతుంది. Telugu negates by replacing the tense ending rather than adding a separate word — there is no equivalent of 'does not' standing on its own.	M0632720d2580	draft
Wd964d9901e5e	మ్యాథ్స్	1	maths	noun (English loanword)		M539a50ee5949	draft
W55b99e14da64	యూనివర్సిటీ	1	university	noun	Borrowed from English and used as an ordinary noun.	M1d52df997c3c	draft
Wd940468a4af5	యేమి	1	Amy	name	"the translator writes it this way; a learner may read it as ఏమి ""what"""	Mfc0fc617abdd	draft
W9eac7aa2c72e	యేమికి	1	to Amy, Amy (as experiencer)	name + the dative -కి		M539a50ee5949	draft
Wf8984884123d	రాణిస్తాము	1	we do well	verb	రాణించు 'to excel' with the first-person plural ending.	M600055516098	draft
W15ddd4a2cb4a	రాణిస్తారు	1	they do well, they excel	verb	రాణించు 'to shine, to excel' with -తారు, third person plural. Also the polite form for a single person.	M3bd5efcd318b	draft
Wc1017f35a948	రాణిస్తుందా	1	does she do well?	verb + question	రాణిస్తుంది 'she does well' plus the question marker.	M9ee5a507ebab	draft
W179e138e4a2a	రుచిగా	1	tasty, deliciously	adverb	రుచి 'taste' with the adverbial -గా, pairing with ఉండటం: రుచిగా ఉండదు, 'it is not tasty'.	M078b1e383017	draft
W5bbed7f5b46f	రెస్టారెంట్	1	restaurant	noun (English loanword)		M408d4f952b07	draft
Wba870771c8da	రెస్టారెంట్‌లో	1	in a restaurant	noun + case	The borrowed రెస్టారెంట్ with the locative -లో 'in, at'. Consonant-final loanwords take native case endings unchanged.	Mf4bbe4bbc215	draft
Wfe814c92fefc	లీసా	1	Lisa	name		Mfcbd2d509080	draft
W4a63b6fd5117	లేస్తాడా	1	does he get up?	verb + question	లేస్తాడు 'he gets up' plus the question marker. The final -ఆ is Telugu's yes/no question marker: attach it to the end of a statement and the word order does not change at all.	M0f902e9fb9fd	draft
We728d7fed3d8	లేస్తాడు	1	he gets up	verb	లేచు 'to rise, get up' with -స్తాడు, third person masculine in the habitual/future. Telugu uses one tense for both habit and future; context distinguishes them.	Mbbdd5bcb2e81	draft
Wb6a64b2b290f	లేస్తాను	1	I get up	verb	లేచు 'to rise' with -తాను, first person singular. The third-person counterpart is లేస్తాడు.	M9cd5b204912c	draft
W29d40e590d90	వంటమనిషా	1	is (she) a cook?	noun + question	వంటమనిషి plus the question marker.	M24793f8237ff	draft
W72c6a9ccf898	వంటమనిషి	1	cook	noun	వంట 'cooking' plus మనిషి 'person'. Unlike వంటవాడు, which is specifically masculine, మనిషి is gender-neutral in form and so serves for a woman.	M87434ff51efb	draft
W43dbaca33bf0	వంటవాడా	1	is (he) a cook?	noun + question	వంటవాడు plus the question marker. Because Telugu needs no copula, questioning an equational sentence means attaching -ఆ straight to the predicate noun.	Mdb4fa346e775	draft
Weac86004fbbd	వంటవాడిని	1	I am a cook	noun (predicative, 1sg)	వంటవాడు 'cook' in the form used when the speaker is the one being described. Telugu marks the predicate noun for person in an equational sentence: వంటవాడు 'he is a cook' becomes వంటవాడిని 'I am a cook'.	M167a4c61499e	draft
Wee21e097041c	వంటవాడు	1	cook (male)	noun	వంట 'cooking' plus -వాడు, the masculine agent suffix — literally 'cooking-man'. The feminine counterpart is వంటమనిషి or వంటది depending on region. -వాడు is a productive way to name someone by what they do.	M98a83054b2b4	draft
Wa26a2dae6837	వండి	1	having cooked	verbal participle of వండు		M0fbf39d9b85f	draft
W370d4e9dc6cc	వండిన	1	cooked, that (she) cooked	verbal adjective of వండు		M078b1e383017	draft
W033cb402c505	వచ్చా	1	does (he) know it? / did it come?	verb + question	వచ్చు 'to come' with the question marker. In the language-ability idiom, ఫ్రెంచ్ వచ్చా is 'does French come (to him)?', i.e. does he speak French — the same రావడం idiom as రాదు.	M7f1e8f8f1792	draft
Wfdbe5fa6bb8d	వస్తారా	1	do they come?	verb + question	వస్తారు 'they come' plus the question marker. The final -ఆ is Telugu's yes/no question marker: attach it to the end of a statement and the word order does not change at all.	Mf8ae7903f203	draft
W4a1df8c120d5	వాడా	1	is he …?	the -వాడు agent ending + the -ā question ending		Mdb4fa346e775	draft
We4909113b5cd	వారాల	1	of weeks	noun	వారాలు in its oblique form	Mbbbb7d4eb1d8	draft
Wc289b9382714	వారాలు	1	weeks	noun (plural)	వారం 'week' with the plural -లు.	Mbbbb7d4eb1d8	draft
Wcdea2143510c	విద్యార్థా	1	is (he) a student?	noun + question	విద్యార్థి 'student' plus the question marker.	M2ee5c50cfcf1	draft
Wa4233c04d3d6	విద్యార్థినా	1	is (she) a student?	noun + question	విద్యార్థిని 'female student' plus the question marker. The final -ఆ is Telugu's yes/no question marker: attach it to the end of a statement and the word order does not change at all.	Mab6ac69cd3ee	draft
Wc917c8c7f2f7	విద్యార్థిని	1	female student	noun	The feminine counterpart of విద్యార్థి 'student'. Telugu marks gender on many agent nouns this way, and the verb agrees with it. Note the trap: this looks identical to a noun carrying the accusative -ని, but here the ending is part of the word itself.	M6d461fc21aeb	draft
W1872f6818621	విధంగా	1	in a (certain) way	adverb	విధం 'manner, way' plus -గా, the suffix that turns a noun or adjective into an adverb. వేరే విధంగా is 'in a different way'. This -గా is one of the most productive endings in the language — the same move gives సంతోషంగా 'happily' and స్నేహంగా 'in a friendly way'.	Me35d761ad098	draft
W8bb7c0d7a3c6	విమాన	1	air-, aeroplane	noun used before another noun	విమానం	M8fa446324119	draft
W7f87fdcecc49	వివిధ	1	various, different	adjective		M4987b661c11b	draft
W77e3a5fac257	విశ్వవిద్యాలయ	1	university	noun used before another noun	విశ్వవిద్యాలయం	M1d52df997c3c	draft
W84ebaba94936	విసుగ్గా	1	bored / tediously	adverb	విసుగు 'boredom' with the adverbial -గా. It appears with ఉండటం in the dative-experiencer pattern: someone-కు విసుగ్గా ఉంటుంది, 'to them it is boring'. Telugu expresses this state as something happening to a person, not something they do.	M9368104310c4	draft
W02db57fa7410	వెళతాడా	1	does he go?	verb	3sg masc + the -ā question ending	Mdc4c92341135	draft
Wab4839777360	వెళతాడు	1	he goes	verb	habitual/future, 3sg masc of వెళ్ళు	Mf59192fd5d1f	draft
W60f454eb55aa	వెళతాను	1	I go	verb	habitual/future, 1sg of వెళ్ళు	M8e4a8bb082b5	draft
Wca8452e002b5	వెళ్తాడా	1	does he go?	verb + question	వెళ్తాడు 'he goes' plus the question marker. The final -ఆ is Telugu's yes/no question marker: attach it to the end of a statement and the word order does not change at all.	Mdc4c92341135	draft
W68bb1eba3e54	వెళ్తుందా	1	does she go?	verb + question	వెళ్తుంది 'she goes' plus the question marker.	M4858a3dc0b78	draft
Wa041343e8fbb	వెళ్తూ	1	while going	verb form	వెళ్ళు 'to go' with the durative -తూ. Chains with another verb to say two things happened at once: నడుచుకుంటూ వెళ్తూ ... చూస్తుంది, 'walking along, she sees ...'.	M07ea382e5598	draft
Wf8030fb3a3ed	వెళ్లాలని	1	that (one) should go	verb form	వెళ్ళాలి 'must go' with the quotative అని, introducing the content of a thought or intention — what he is thinking *about*.	M83772bc567b4	draft
Wd2267df5ead0	వెళ్లాలనుకుంటున్నాడు	1	he wants to go	verb (compound)	Three pieces fused: వెళ్ళాలి 'must/should go', the quotative అని, and అనుకుంటున్నాడు 'he is thinking'. Literally 'he is thinking that he should go'. This is the ordinary Telugu way to say 'wants to' for an action — there is no single verb for 'want' with a verbal complement.	Maa888281458f	draft
Wdf2c2ab82e1a	వెళ్లాలనుకుంటున్నాను	1	I want to go	verb (compound)	The first-person form of వెళ్లాలనుకుంటున్నాడు: వెళ్ళాలి + అని + అనుకుంటున్నాను 'I am thinking'. Only the final verb changes for person — the rest of the chain stays fixed.	M4a72b5a605dd	draft
W1d0f1228f97f	వెళ్లాలో	1	where to go (in an embedded question)	verb form	వెళ్ళాలి 'must go' with the ending -ఓ, which marks an embedded or indirect question. ఎక్కడికి వెళ్ళాలో తెలియదు is 'doesn't know where to go' — the -ఓ is what lets a question sit inside a larger sentence.	M571f3bd4aec8	draft
W9510e4b82343	వెళ్లాల్సిన	1	having to go, required to go	verbal adjective of వెళ్ళు		Mbbbb7d4eb1d8	draft
Wa77af0c6fe4b	వెళ్లిపోయాను	1	I went away, I left	verb	past, 1sg of వెళ్ళిపో	M5677e548b074	draft
W7da630aeb7fb	వెళ్లొచ్చా	1	may (he) go?	వెళ్లొచ్చు + the -ā question ending		Ma7f10cb65670	draft
W55e302a3b4b7	వెళ్లొచ్చు	1	may go, can go	verb	"వెళ్ళు + -వచ్చు ""may/can"""	Mac48ede3581e	draft
Wb20fbb49a45e	వెళ్ళడం	1	going	verbal noun of వెళ్ళు		M7a1fd0c7247a	draft
W739098d679c6	వెళ్ళిపోయింది	1	she went away, she left	verb	past, 3sg fem of వెళ్ళిపో	M705be85ecff0	draft
W023bd1f21bfc	వేడినీటి	1	of hot water	noun	"వేడి ""hot"" + నీళ్ళు ""water"", oblique"	M4be33bb4a292	draft
W0f1b10898b44	వేడినీటితో	1	with hot water	noun వేడినీళ్ళు + the instrumental -తో		M5d01b2af0c5b	draft
W01f2b9c52a29	వేర్వేరు	1	different, various	adjective	A reduplicated form of వేరు 'separate, other'. Doubling a word is a common Telugu way of intensifying or pluralising a sense — here 'separate-separate', i.e. several different ones.	M4987b661c11b	draft
Wf3a9010fbc46	వేసుకుంది	1	she put on, she tried on	verb	past, 3sg fem of వేసుకో	M4cd60ed12d49	draft
W3f7cc1310a13	వేసుకుని	1	having put on	verbal participle of వేసుకో		Mee7786b1a4ba	draft
Wac5c32e66e86	వేసుకున్నాను	1	I put on, I tried on	verb	past, 1sg of వేసుకో	Mf1701ee15795	draft
W0dbc43f45937	వేసుకోలేదు	1	she did not put on	verb	negative past of వేసుకో	Maa3ff726e56f	draft
W2fb27a546482	వ్రాయడం	1	writing	verbal noun of వ్రాయు		Mb5dc6c6c650a	draft
W27310bcdbfbb	వ్రాయడమంటే	1	as for writing	verbal noun వ్రాయడం + అంటే		M59c4ef223e95	draft
We3aa85ba3e30	శీతాకాల	1	winter	noun used before another noun	శీతాకాలం	Mf084dcfb8769	draft
Wf5f7a041781c	శీతాకాలం	1	winter	noun	శీత 'cold' plus కాలం 'season, time' — a transparent compound. The same కాలం builds వేసవికాలం 'summer' and వర్షాకాలం 'rainy season'.	Mf084dcfb8769	draft
W32afbc9ec16e	షాప్‌లో	1	in the shop	noun + case	షాప్ 'shop' with the locative -లో.	M5b64a1c2fa80	draft
W46c8efac7282	సంతోషపడుతాడా	1	does he feel happy?	verb	3sg masc + the -ā question ending	M7b3af6a49af0	draft
W28ace4e15416	సంతోషపడుతాడు	1	he feels happy	verb	habitual/future, 3sg masc	M61d853bc7ae6	draft
W823fbc066791	సమావేశాలంటే	1	as for the meetings	సమావేశాలు + అంటే		M487e6850a5f3	draft
W295de9fc406c	సమావేశాలు	1	meetings	noun	plural of సమావేశం	M3dd487b29236	draft
Wca9878a6ed6e	సమావేశాలుంటాయా	1	are there meetings?	సమావేశాలు + ఉంటాయి + the -ā question ending		M7ec96a75c858	draft
W0bdf7405a1c6	సమావేశాలుంటాయి	1	there are meetings	"సమావేశాలు ""meetings"" + ఉంటాయి ""there are"""		M65fae952cf36	draft
W06d4ffb042de	సమావేశాలున్నాయి	1	there are meetings	"సమావేశాలు + ఉన్నాయి ""there are"""		M8ca364fb9547	draft
W3acf67a7f760	సరిగ్గా	1	exactly, properly	adverb		M571f3bd4aec8	draft
W90f020740fd6	సినిమాలు	1	movies	noun (plural)	సినిమా with the plural -లు.	M0e79c6bafa76	draft
W8f4f6c298968	సెలవుకు	1	for a holiday / on vacation	noun + case	సెలవు 'leave, holiday' with the dative -కు, marking purpose — going *for* a vacation.	Maa888281458f	draft
W62eb9742fa5a	సెలవుల	1	of the holidays	noun (oblique plural)	సెలవు 'leave, holiday' with the oblique plural -ల, here before గురించి 'about': సెలవుల గురించి, 'about the holidays'.	Mf084dcfb8769	draft
W57e285d7d904	సెలవులో	1	during the holiday	noun + case	సెలవు 'holiday' with the locative -లో, here marking a period of time rather than a place.	Me345949a099e	draft
Wf481bb3e9553	సెలవుల్లో	1	during the holidays	noun	"సెలవులు + -లో ""in"""	Me345949a099e	draft
W182f5989992f	సేపు	1	a stretch of time	noun	"""చాలా సేపు"" = for a long while"	M140564b292fe	draft
W1da3f8665cde	సౌకర్యంగా	1	comfortably, comfortable	adverb	"సౌకర్యం ""comfort"" + -గా"	Mf7f521152fbd	draft
Wa64876039335	స్కూలు	1	school	noun	The borrowed 'school' with the vowel Telugu adds to consonant-final loanwords. Both స్కూల్ and స్కూలు occur; the fuller form appears before case endings.	Me9dfa9af5f02	draft
We0fef98c5d87	స్కూలుకు	1	to school	noun + case	స్కూలు 'school' with the dative -కు marking destination. Telugu adds a vowel to the borrowed స్కూల్ before the ending, giving స్కూలు-, which is a regular adaptation of consonant-final loanwords.	Maf14de3ce522	draft
W23decfe9b44f	స్కూల్లో	1	in school / at school	noun + case	స్కూల్ 'school' with the locative -లో 'in, at'. -లో is the general 'inside/at' ending and attaches to borrowed and native nouns alike.	M41dc51e5bffe	draft
W876879ec4757	స్నానం	1	a bath, a wash	noun	"""స్నానం చేయు"" = to bathe"	M2c882c11e313	draft
W74e42baeb872	స్నేహంగా	1	in a friendly way	adverb	స్నేహం 'friendship' with the adverbial -గా. Telugu often builds a manner adverb from an abstract noun this way where English would reach for an adjective like 'friendly'.	M423b6d65259a	draft
W362b73bc71c9	స్నేహితులు	1	friends	noun (plural)	స్నేహితుడు 'friend (male)' with the plural -లు. Used for a mixed or unspecified group; the feminine singular is స్నేహితురాలు.	M80f643e0f3e3	draft
W3e79fb4fc9b6	హాబీ	1	hobby	noun	The English word borrowed directly. Telugu has వ్యాపకం, but that reads literary; హాబీ is what is actually said in conversation.	Mcc6aaae188a9	draft
W2218ca19abdb	హిస్టరీ	1	history (the subject)	noun (English loanword)		M77383f958096	draft
Wc4d9db5676ef	హై	1	high	adjective (English loanword)	"in ""హై స్కూల్"""	M902a6de03153	draft
W85a8f060c727	హైస్కూల్	1	high school	noun	The English compound borrowed whole.	M0301635ed4ba	draft
W6982c3de579a	హైస్కూల్‌లో	1	in high school	noun + case	హైస్కూల్ with the locative -లో.	M902a6de03153	draft
W7c118149c399	హోంవర్క్	1	homework	noun	The English word borrowed whole and written in Telugu script. Everyday spoken Telugu takes many school and office terms this way. It behaves as an ordinary noun and accepts case endings: హోంవర్క్‌లో 'in the homework'.	Md585b0658727	draft
Wc7d867edde6f	హోంవర్క్‌లో	1	in the homework	noun + case	The borrowed హోంవర్క్ with the locative -లో.	M8e2da61aa171	draft
