English,Romanized,TeluguScript,Audio,Example,Tags,ID,Source,Section,Category,Tier,Flag,AlsoSeenIn
eighteen,paddenimidi,పద్దెనిమిది,,paddenimidi.,src::lesson-06 cat::numeral tier::standard,W0150,Lesson 6 · Numbers,Teens — lower priority,numeral,standard,,
nineteen,pantommidi,పంతొమ్మిది,,pantommidi.,src::lesson-06 cat::numeral tier::standard,W0151,Lesson 6 · Numbers,Teens — lower priority,numeral,standard,,
one person (not okaṭi),okaru,ఒకరు,,okaru mātramē.,src::lesson-06 cat::numeral-human tier::core,W0152,Lesson 6 · Numbers,Counting people,numeral-human,core,,
two people,iddaru,ఇద్దరు,,iddaru vidyārthulu.,src::lesson-06 cat::numeral-human tier::core,W0153,Lesson 6 · Numbers,Counting people,numeral-human,core,,
three people,mugguru,ముగ్గురు,,mugguru.,src::lesson-06 cat::numeral-human tier::core,W0154,Lesson 6 · Numbers,Counting people,numeral-human,core,,
four people,naluguru,నలుగురు,,naluguru.,src::lesson-06 cat::numeral-human tier::core,W0155,Lesson 6 · Numbers,Counting people,numeral-human,core,,
five people,aiduguru,ఐదుగురు,,aiduguru.,src::lesson-06 cat::numeral-human tier::core,W0156,Lesson 6 · Numbers,Counting people,numeral-human,core,,
people (counter word — use with larger numbers),mandi,మంది,,padi mandi.,src::lesson-06 cat::numeral-human tier::core,W0157,Lesson 6 · Numbers,Counting people,numeral-human,core,,
first (irregular),modaṭi,మొదటి,,modaṭi pāṭhaṁ.,src::lesson-06 cat::ordinal tier::core,W0158,Lesson 6 · Numbers,Ordinals,ordinal,core,,
second (pattern: number + -ava / -ō),reṇḍava / reṇḍō,రెండవ / రెండో,,reṇḍō roju.,src::lesson-06 cat::numeral tier::core,W0159,Lesson 6 · Numbers,Ordinals,numeral,core,,
How are you? (respectful),mīru eṭla unnāru?,మీరు ఎట్ల ఉన్నారు?,,always return the question,src::scenario-how-was-your-day cat::other tier::core,W0160,Scenario · How was your day?,Day one — these six carry the whole conversation,other,core,,
aunty / mother-in-law (address),attayya,అత్తయ్య,,bāgundi attayya,src::scenario-how-was-your-day cat::other tier::core,W0161,Scenario · How was your day?,Day one — these six carry the whole conversation,other,core,,
"a little, somewhat",konchaṁ,కొంచెం,,konchaṁ kaṣṭaṁ,src::scenario-how-was-your-day cat::other tier::core,W0162,Scenario · How was your day?,Day one — these six carry the whole conversation,other,core,,
today,ī rōju,ఈ రోజు,,ī rōju bāgundi,src::scenario-how-was-your-day cat::other tier::core,W0163,Scenario · How was your day?,Day two — content and the food exchange,other,core,,
"work, task",pani,పని,,chālā pani undi,src::scenario-how-was-your-day cat::other tier::core,W0164,Scenario · How was your day?,Day two — content and the food exchange,other,core,,
"difficult, hard",kaṣṭaṁ,కష్టం,,konchaṁ kaṣṭaṁ,src::scenario-how-was-your-day cat::other tier::core,W0165,Scenario · How was your day?,Day two — content and the food exchange,other,core,,
I've eaten,tinnānu,తిన్నాను,,block — Lesson 9 explains it,src::scenario-how-was-your-day cat::other tier::core,W0166,Scenario · How was your day?,Day two — content and the food exchange,other,core,,
not yet,inkā lēdu,ఇంకా లేదు,,inkā tinalēdu,src::scenario-how-was-your-day cat::other tier::core,W0167,Scenario · How was your day?,Day two — content and the food exchange,other,core,,
enough (stopping more food),chālu,చాలు,,"chālu, chālā bāgundi",src::scenario-how-was-your-day cat::other tier::core,W0168,Scenario · How was your day?,Day two — content and the food exchange,other,core,,
but,kāni,కానీ,,kāni ṭrāphik ekkuva undi,src::scenario-how-was-your-day cat::other tier::core,W0169,Scenario · How was your day?,Day three — the two-clause answer,other,core,,
"a lot, excessive (of quantity)",ekkuva,ఎక్కువ,,not “bad” — Telugu counts traffic,src::scenario-how-was-your-day cat::other tier::core,W0170,Scenario · How was your day?,Day three — the two-clause answer,other,core,,
"way, road, route",dāri,దారి,,dārilō — on the way,src::scenario-how-was-your-day cat::other tier::core,W0171,Scenario · How was your day?,Day three — the two-clause answer,other,core,,
"it got done, it happened",ayyindi,అయ్యింది,,chālā pani ayyindi,src::scenario-how-was-your-day cat::other tier::core,W0172,Scenario · How was your day?,Day three — the two-clause answer,other,core,,
I did,chēsānu,చేసాను,,block — chālā pani chēsānu,src::scenario-how-was-your-day cat::other tier::core,W0173,Scenario · How was your day?,Day three — the two-clause answer,other,core,,
"completed, finished",pūrti,పూర్తి,,pūrti ayyindi,src::scenario-how-was-your-day cat::other tier::core,W0174,Scenario · How was your day?,Day three — the two-clause answer,other,core,,
good (before a noun),manchi,మంచి,,oka manchi pani,src::scenario-how-was-your-day cat::other tier::core,W0175,Scenario · How was your day?,Day three — the two-clause answer,other,core,,
at the office,āphīsulō,ఆఫీసులో,,āphīsulō chālā pani undi,src::scenario-how-was-your-day cat::other tier::core,W0176,Scenario · How was your day?,Day four — extending,other,core,,
"at home, in the house",intlō,ఇంట్లో,,intlō antā bāgunnārā?,src::scenario-how-was-your-day cat::other tier::core,W0177,Scenario · How was your day?,Day four — extending,other,core,,
"everyone, all",antā,అంతా,,intlō antā,src::scenario-how-was-your-day cat::other tier::core,W0178,Scenario · How was your day?,Day four — extending,other,core,,
I'm tired,alisipōyānu,అలిసిపోయాను,,block — konchaṁ alisipōyānu,src::scenario-how-was-your-day cat::other tier::core,W0179,Scenario · How was your day?,Day four — extending,other,core,,
How did it go? (of a day),eṭla gaḍichindi?,ఎట్ల గడిచింది?,,mī rōju eṭla gaḍichindi?,src::scenario-how-was-your-day cat::other tier::core,W0180,Scenario · How was your day?,Day four — extending,other,core,,
Have you eaten?,tinnārā?,తిన్నారా?,,"recognise it, don't just answer",src::scenario-how-was-your-day cat::other tier::core,W0181,Scenario · How was your day?,Day four — extending,other,core,,
"like, as",lāga / -lā,లాగా,,varṣaṁlā — like rain,src::song-gira-gira cat::grammar tier::core,W0182,Song · Gira Gira,Grammar words — highest value in the song,grammar,core,,
whatever happens,ēmi jariginā,ఏమి జరిగినా,,fixed phrase,src::song-gira-gira cat::grammar tier::core,W0183,Song · Gira Gira,Grammar words — highest value in the song,grammar,core,,
what,ēmi,ఏమి,,ēmi jarigindi?,src::song-gira-gira cat::grammar tier::core,W0184,Song · Gira Gira,Grammar words — highest value in the song,grammar,core,,
who,evaru,ఎవరు,,evaru vastunnāru?,src::song-gira-gira cat::grammar tier::core,W0185,Song · Gira Gira,Grammar words — highest value in the song,grammar,core,,
"always, ever",epuḍū,ఎపుడూ,,epuḍū manasulō,src::song-gira-gira cat::grammar tier::core,W0186,Song · Gira Gira,Grammar words — highest value in the song,grammar,core,,
"at all, really",asalu,అసలు,,asalu vinaḍu,src::song-gira-gira cat::grammar tier::core,W0187,Song · Gira Gira,Grammar words — highest value in the song,grammar,core,,
own (his/her own),tana,తన,,tana venaka,src::song-gira-gira cat::grammar tier::core,W0188,Song · Gira Gira,Grammar words — highest value in the song,grammar,core,,
"himself, herself",tānu,తాను,,tānē vachchāḍu,src::song-gira-gira cat::grammar tier::core,W0189,Song · Gira Gira,Grammar words — highest value in the song,grammar,core,,
"on, upon",-pai,పై,,tanapai — on him,src::song-gira-gira cat::grammar tier::core,W0190,Song · Gira Gira,Grammar words — highest value in the song,grammar,core,,
behind,venaka,వెనక,,tana venakāle,src::song-gira-gira cat::grammar tier::core,W0191,Song · Gira Gira,Grammar words — highest value in the song,grammar,core,,
"heart, mind",manasu,మనసు,,manasē karaga lēdu,src::song-gira-gira cat::noun tier::core,W0192,Song · Gira Gira,Everyday nouns worth carding,noun,core,,
minute,nimiṣaṁ,నిమిషం,,oka nimiṣaṁ!,src::song-gira-gira cat::noun tier::core,W0193,Song · Gira Gira,Everyday nouns worth carding,noun,core,,
moment,kṣaṇaṁ,క్షణం,,ā kṣaṇaṁ,src::song-gira-gira cat::noun tier::core,W0194,Song · Gira Gira,Everyday nouns worth carding,noun,core,,
rain,varṣaṁ,వర్షం,,varṣaṁ vastundi,src::song-gira-gira cat::noun tier::core,W0195,Song · Gira Gira,Everyday nouns worth carding,noun,core,,
summer,vēsavi,వేసవి,,vēsavilō,src::song-gira-gira cat::noun tier::core,W0196,Song · Gira Gira,Everyday nouns worth carding,noun,core,,
wedding,pelli,పెళ్ళి,,pelli pāṭa,src::song-gira-gira cat::noun tier::core,W0197,Song · Gira Gira,Everyday nouns worth carding,noun,core,,
song,pāṭa,పాట,,pelli pāṭa pāḍē,src::song-gira-gira cat::noun tier::core,W0198,Song · Gira Gira,Everyday nouns worth carding,noun,core,,
head,tala,తల,,tala etti chūḍu,src::song-gira-gira cat::noun tier::core,W0199,Song · Gira Gira,Everyday nouns worth carding,noun,core,,
"step, foot",aḍugu,అడుగు,,aḍugu kalipi,src::song-gira-gira cat::noun tier::core,W0200,Song · Gira Gira,Everyday nouns worth carding,noun,core,,
tiredness,alupu,అలుపు,,alupu lēdu,src::song-gira-gira cat::noun tier::core,W0201,Song · Gira Gira,Everyday nouns worth carding,noun,core,,
"hope, desire",āśa,ఆశ,,āśa karugunā,src::song-gira-gira cat::noun tier::core,W0202,Song · Gira Gira,Everyday nouns worth carding,noun,core,,
"victory, winning",gelupu,గెలుపు,,kadilitē gelupu,src::song-gira-gira cat::noun tier::core,W0203,Song · Gira Gira,Everyday nouns worth carding,noun,core,,
"gold, golden (also a pet name)",baṅgāru,బంగారు,,baṅgāru bomma,src::song-gira-gira cat::noun tier::core,W0204,Song · Gira Gira,Everyday nouns worth carding,noun,core,,
doll,bomma,బొమ్మ,,the Telugu word for guḍiyā,src::song-gira-gira cat::noun tier::standard,W0205,Song · Gira Gira,Everyday nouns worth carding,noun,standard,,
dream,kala,కల,,kalalu — dreams,src::song-gira-gira cat::noun tier::core,W0206,Song · Gira Gira,Everyday nouns worth carding,noun,core,,
wave,ala,అల,,alalu alisi,src::song-gira-gira cat::noun tier::standard,W0207,Song · Gira Gira,Everyday nouns worth carding,noun,standard,,
direction,diśa,దిశ,,diśalu reṇḍu,src::song-gira-gira cat::noun tier::standard,W0208,Song · Gira Gira,Everyday nouns worth carding,noun,standard,,
"grain, ingredient",dinusu,దినుసు,,dinusē nalaga lēdu,src::song-gira-gira cat::noun tier::standard,W0209,Song · Gira Gira,Everyday nouns worth carding,noun,standard,,
"to turn, to roam",tirugu,తిరుగు,,tirigi — having turned,src::song-gira-gira cat::verb tier::core,W0210,Song · Gira Gira,Verbs — you'll conjugate these from Lesson 7,verb,core,,
to happen,jarugu,జరుగు,,ēmi jariginā,src::song-gira-gira cat::verb tier::core,W0211,Song · Gira Gira,Verbs — you'll conjugate these from Lesson 7,verb,core,,
"to hear, to listen",vinu,విను,,vinaḍu — he doesn't listen,src::song-gira-gira cat::verb tier::core,W0212,Song · Gira Gira,Verbs — you'll conjugate these from Lesson 7,verb,core,,
"to see, to look",chūḍu,చూడు,,chūstunnāḍu — he's looking,src::song-gira-gira cat::verb tier::core,W0213,Song · Gira Gira,Verbs — you'll conjugate these from Lesson 7,verb,core,,
to ask,aḍugu,అడుగు,,aḍigi aḍigi,src::song-gira-gira cat::verb tier::core,W0214,Song · Gira Gira,Verbs — you'll conjugate these from Lesson 7,verb,core,,
to be known (I know),telusu / teliyadu,తెలుసు,,nāku telusu — I know,src::song-gira-gira cat::verb tier::core,W0215,Song · Gira Gira,Verbs — you'll conjugate these from Lesson 7,verb,core,,
to fall,paḍu,పడు,,eduru paḍu — to run into,src::song-gira-gira cat::verb tier::core,W0216,Song · Gira Gira,Verbs — you'll conjugate these from Lesson 7,verb,core,,
to stop,āgu,ఆగు,,āgunā? — would it stop?,src::song-gira-gira cat::verb tier::core,W0217,Song · Gira Gira,Verbs — you'll conjugate these from Lesson 7,verb,core,,
to touch,tāku,తాకు,,tāki — having touched,src::song-gira-gira cat::verb tier::core,W0218,Song · Gira Gira,Verbs — you'll conjugate these from Lesson 7,verb,core,,
"to lift, to raise",ettu,ఎత్తు,,tala etti,src::song-gira-gira cat::verb tier::core,W0219,Song · Gira Gira,Verbs — you'll conjugate these from Lesson 7,verb,core,,
"to join, to mix",kalupu,కలుపు,,aḍugu kalipi,src::song-gira-gira cat::verb tier::core,W0220,Song · Gira Gira,Verbs — you'll conjugate these from Lesson 7,verb,core,,
"to melt, to dissolve",karugu,కరుగు,,manasu karagalēdu,src::song-gira-gira cat::verb tier::standard,W0221,Song · Gira Gira,Verbs — you'll conjugate these from Lesson 7,verb,standard,,
to wear away,aragu,అరుగు,,arigi pōyinā,src::song-gira-gira cat::verb tier::standard,W0222,Song · Gira Gira,Verbs — you'll conjugate these from Lesson 7,verb,standard,,
to know (be aware of),erugu,ఎరుగు,,alupu eragaka,src::song-gira-gira cat::verb tier::standard,W0223,Song · Gira Gira,Verbs — you'll conjugate these from Lesson 7,verb,standard,,
sky (literary),gaganamu,గగనము,,use ākāśaṁ instead,src::song-gira-gira cat::poetic tier::recognition,W0224,Song · Gira Gira,"Poetic register — recognise, don't reproduce",poetic,recognition,,
sky (poetic native),ningi,నింగి,,use ākāśaṁ instead,src::song-gira-gira cat::poetic tier::recognition,W0225,Song · Gira Gira,"Poetic register — recognise, don't reproduce",poetic,recognition,,
"yearning, longing",tapana,తపన,,vadalani tapana,src::song-gira-gira cat::poetic tier::recognition,W0226,Song · Gira Gira,"Poetic register — recognise, don't reproduce",poetic,recognition,,
"love, affection (literary)",valapu,వలపు,,use prēma instead,src::song-gira-gira cat::poetic tier::recognition,W0227,Song · Gira Gira,"Poetic register — recognise, don't reproduce",poetic,recognition,,
journey (literary),payanaṁ,పయనం,,use prayāṇaṁ instead,src::song-gira-gira cat::poetic tier::recognition,W0228,Song · Gira Gira,"Poetic register — recognise, don't reproduce",poetic,recognition,,
innate nature,sahaja guṇamu,సహజ గుణము,,Sanskrit compound,src::song-gira-gira cat::poetic tier::recognition,W0229,Song · Gira Gira,"Poetic register — recognise, don't reproduce",poetic,recognition,,
great heat,penutāpaṁ,పెనుతాపం,,vēsavilō penutāpaṁ,src::song-gira-gira cat::poetic tier::recognition,W0230,Song · Gira Gira,"Poetic register — recognise, don't reproduce",poetic,recognition,,
turning point,malupu,మలుపు,,kṣaṇamoka malupu,src::song-gira-gira cat::poetic tier::recognition,W0231,Song · Gira Gira,"Poetic register — recognise, don't reproduce",poetic,recognition,,
shehnai (wind instrument),sannāyi,సన్నాయి,,wedding music,src::song-gira-gira cat::poetic tier::recognition,W0232,Song · Gira Gira,"Poetic register — recognise, don't reproduce",poetic,recognition,,
drum,ḍōlu,డోలు,,sannāyi ḍōlu,src::song-gira-gira cat::poetic tier::recognition,W0233,Song · Gira Gira,"Poetic register — recognise, don't reproduce",poetic,recognition,,
grindstone,tiragali,తిరగలి,,tiragali lāga,src::song-gira-gira cat::poetic tier::recognition,W0234,Song · Gira Gira,"Poetic register — recognise, don't reproduce",poetic,recognition,,
to collapse flat,chatikilapaḍu,చతికిలపడు,,spelling varies,src::song-gira-gira cat::poetic tier::recognition flag::verify,W0235,Song · Gira Gira,"Poetic register — recognise, don't reproduce",poetic,recognition,verify-with-native,
to be flustered,kalavara paḍu,కలవర పడు,,literary,src::song-gira-gira cat::poetic tier::recognition flag::verify,W0236,Song · Gira Gira,"Poetic register — recognise, don't reproduce",poetic,recognition,verify-with-native,
sidelong glance,vora kaṇṭa,ఒర కంట,,word split uncertain,src::song-gira-gira cat::poetic tier::recognition flag::verify,W0237,Song · Gira Gira,"Poetic register — recognise, don't reproduce",poetic,recognition,verify-with-native,
"match, equal (in age)",īḍu jōḍu,ఈడు జోడు,,set phrase,src::song-gira-gira cat::poetic tier::recognition flag::verify,W0238,Song · Gira Gira,"Poetic register — recognise, don't reproduce",poetic,recognition,verify-with-native,
"before, formerly",munupu,మునుపు,,teliyadu munupu,src::song-gira-gira cat::poetic tier::recognition flag::verify,W0239,Song · Gira Gira,"Poetic register — recognise, don't reproduce",poetic,recognition,verify-with-native,
shoulder,bhujaṁ,భుజం,,kuḍi bhujaṁ mīda,src::song-saranga-dariya cat::noun tier::core,W0240,Song · Saranga Dariya,Body — mostly worth having,noun,core,,
cheek (Telangana: sempa),chempa,చెంప,,sempalu,src::song-saranga-dariya cat::noun tier::core,W0241,Song · Saranga Dariya,Body — mostly worth having,noun,core,,
ears (Telangana: sevulu),chevulu,చెవులు,,sevulaku duddulu,src::song-saranga-dariya cat::noun tier::core,W0242,Song · Saranga Dariya,Body — mostly worth having,noun,core,,
lips,pedavulu,పెదవులు,,pedavul erragā,src::song-saranga-dariya cat::noun tier::core,W0243,Song · Saranga Dariya,Body — mostly worth having,noun,core,,
waist,naḍumu,నడుము,,dāni naḍumu,src::song-saranga-dariya cat::noun tier::core,W0244,Song · Saranga Dariya,Body — mostly worth having,noun,core,,
"smile, laugh",navvu,నవ్వు,,adi navvitē,src::song-saranga-dariya cat::noun tier::core,W0245,Song · Saranga Dariya,Body — mostly worth having,noun,core,,
"braid, plait",jaḍa,జడ,,jaḍa tākitē,src::song-saranga-dariya cat::noun tier::standard,W0246,Song · Saranga Dariya,Body — mostly worth having,noun,standard,,
hair bun,koppu,కొప్పు,,koppulō mallelu,src::song-saranga-dariya cat::noun tier::standard,W0247,Song · Saranga Dariya,Body — mostly worth having,noun,standard,,
jasmine — everywhere in Hyderabad,malle,మల్లె,,malle daṇḍa,src::song-saranga-dariya cat::noun tier::core,W0248,Song · Saranga Dariya,Everyday objects & nature,noun,core,,
colour,rangu,రంగు,,rangu lēni,src::song-saranga-dariya cat::noun tier::core,W0249,Song · Saranga Dariya,Everyday objects & nature,noun,core,,
"water pot, large vessel",kaḍava,కడవ,,bhujaṁ mīda kaḍava,src::song-saranga-dariya cat::noun tier::standard,W0250,Song · Saranga Dariya,Everyday objects & nature,noun,standard,,
garland,daṇḍa,దండ,,malle daṇḍa,src::song-saranga-dariya cat::noun tier::standard,W0251,Song · Saranga Dariya,Everyday objects & nature,noun,standard,,
earrings,duddulu,దుద్దులు,,sevulaku duddulu,src::song-saranga-dariya cat::noun tier::standard,W0252,Song · Saranga Dariya,Everyday objects & nature,noun,standard,,
"shine, flash, lightning",merupu,మెరుపు,,meriyā (song form),src::song-saranga-dariya cat::noun tier::standard,W0253,Song · Saranga Dariya,Everyday objects & nature,noun,standard,,
pearls,mutyālu,ముత్యాలు,,navvula mutyāl,src::song-saranga-dariya cat::noun tier::standard,W0254,Song · Saranga Dariya,Everyday objects & nature,noun,standard,,
blouse (Telangana term),raika,రైక,,raikalu,src::song-saranga-dariya cat::noun tier::standard flag::verify,W0255,Song · Saranga Dariya,Everyday objects & nature,noun,standard,verify-with-native,
anklet bells,gajjelu,గజ్జెలు,,gajjel lēkunnā,src::song-saranga-dariya cat::noun tier::recognition,W0256,Song · Saranga Dariya,Everyday objects & nature,noun,recognition,,
moonlight (Telangana: ennela),vennela,వెన్నెల,,ennela kuriyā,src::song-saranga-dariya cat::noun tier::recognition,W0257,Song · Saranga Dariya,Everyday objects & nature,noun,recognition,,
heart (Urdu) — very common in Hyderabad,dil,దిల్,,mana dil,src::song-saranga-dariya cat::urdu tier::core,W0258,Song · Saranga Dariya,Dakhni Urdu layer — the Hyderabad vocabulary,urdu,core,,
world (Urdu),duniyā,దునియా,,mogōḷḷa duniyā,src::song-saranga-dariya cat::urdu tier::core,W0259,Song · Saranga Dariya,Dakhni Urdu layer — the Hyderabad vocabulary,urdu,core,,
doll (Urdu) — affectionate,guḍiyā,గుడియా,,guḍiyā,src::song-saranga-dariya cat::urdu tier::standard,W0260,Song · Saranga Dariya,Dakhni Urdu layer — the Hyderabad vocabulary,urdu,standard,,
little bird (Urdu) — affectionate,chiḍiyā,చిడియా,,chikkani chiḍiyā,src::song-saranga-dariya cat::urdu tier::standard,W0261,Song · Saranga Dariya,Dakhni Urdu layer — the Hyderabad vocabulary,urdu,standard,,
"kohl, eyeliner (Urdu)",surmā,సుర్మా,,surmā peṭṭina,src::song-saranga-dariya cat::urdu tier::standard,W0262,Song · Saranga Dariya,Dakhni Urdu layer — the Hyderabad vocabulary,urdu,standard,,
"dagger, blade (Urdu)",churiyā,చురియా,,churiyā,src::song-saranga-dariya cat::urdu tier::recognition,W0263,Song · Saranga Dariya,Dakhni Urdu layer — the Hyderabad vocabulary,urdu,recognition,,
cannon (Persian via Urdu),phirangi,ఫిరంగి,,adi phirangi,src::song-saranga-dariya cat::urdu tier::recognition,W0264,Song · Saranga Dariya,Dakhni Urdu layer — the Hyderabad vocabulary,urdu,recognition,,
even without ___ (from lēdu),lēkunnā,లేకున్నా,,gajjel lēkunnā,src::song-saranga-dariya cat::grammar tier::core,W0265,Song · Saranga Dariya,Grammar chunks worth keeping,grammar,core,,
men (Telangana dialect plural),mogōḷḷu,మొగోళ్ళు,,mogōḷḷa duniyā,src::song-saranga-dariya cat::grammar tier::core,W0266,Song · Saranga Dariya,Grammar chunks worth keeping,grammar,core,,
"redly, in a red way (from erupu)",erragā,ఎర్రగా,,erragā aitadi,src::song-saranga-dariya cat::grammar tier::standard,W0267,Song · Saranga Dariya,Grammar chunks worth keeping,grammar,standard,,
"dear one, beloved (Telangana: seliyā)",cheliyā,చెలియా,,rādurā seliyā,src::song-saranga-dariya cat::poetic tier::recognition,W0268,Song · Saranga Dariya,"Poetic — recognise, don't card",poetic,recognition,,
"charms, delights",muripālu,మురిపాలు,,vastāy muripāl,src::song-saranga-dariya cat::poetic tier::recognition,W0269,Song · Saranga Dariya,"Poetic — recognise, don't card",poetic,recognition,,
"lioness, tigress — a fierce woman",śivangi,శివంగి,,adi śivangi,src::song-saranga-dariya cat::poetic tier::recognition,W0270,Song · Saranga Dariya,"Poetic — recognise, don't card",poetic,recognition,,
clove (also a sharpness metaphor),lavangaṁ,లవంగం,,māṭala ghāṭu lavangi,src::song-saranga-dariya cat::poetic tier::recognition,W0271,Song · Saranga Dariya,"Poetic — recognise, don't card",poetic,recognition,,
sarangi — bowed string instrument,sārangi,సారంగి,,tīgalu lēni sārangi,src::song-saranga-dariya cat::poetic tier::recognition,W0272,Song · Saranga Dariya,"Poetic — recognise, don't card",poetic,recognition,,
