lesson	te	en
44	కరెంటు	electricity
44	ఎటువంటి	what kind of
44	లడ్డు	(a kind of sweet
44	పూస	bead
44	అటువంటి	that kind of
44	కాజెయ్యి	snatch away; steel (v)
44	ఇటువంటి	this kind of
44	అరటిపండు	banana
44	వైరు	wire (n.)
44	నమస్తే	Namaste! (salutation)
44	నేర్చుకో	learn (v.)
44	'ఎదురుకా	come in opposite dire-
44	తేలిక	easy
44	ఉండ	ball, coil
44	అందుచేత	because
44	పైగా.	moreover
44	పర్షిషన్‌	permission
44	మోసం	cheating
44	కోరు	request (v.)
44	నీలం	blue
44	'ఫోనుచెయ్యి	phone (v.)
44	చౌక	cheap
45	పడు	be in good terms
46	దొంగతనం	theft
46	బిచ్చం	begging, alms
46	వట్టి	only (an emphasiser)
46	పిచ్చి	mad
46	ప్పర్రిక్సి	coward (adj.)
46	బిచ్చగత్తె	beggar (fem.)
46	ధైర్యం	courage
47	ప్రాథమిక	primary, fundamental
47	సహాయ	assistant (adj.)
47	పరిశోధనా సంస్ద	research institute
47	కార్యదర్శి	secretary
47	కంప్యూటర్‌	computer
47	నేడు	today
47	విభాగం	section; division
47	పై	on; upon; above
47	సంగీతం	music
47	విలేఖరి	correspondent
47	ప్రయోగం	experiment (n)
47	వెల్లడించు	make known; inform
47	విజయవంతం	successful
47	తెలియజెయ్యి	inform
47	సంగీతశాస్త్రం	the science of music
47	వీణ	veena
47	సదస్సు	seminar; gathering
47	ఇతర	other
47	'విశేషాంశం	special feature
47	కర్ణాటక సంగీతం,	carnatic music
47	సంస్ద	institution
47	ద్వా	through
47	చెందిన	belonging to
47	వినిపించు	make to listen by
47	శ్రీమతి	Mrs.
47	తేదీ	date
47	కుటుంబ నియంత్రణ 1	family planning
47	వ్యాసం	essay
47	జ్యోతిష్కుడు	astrologer
47	సమర్పించు	submit; present (v.tr.)
47	నమ్ము	believe
47	నిర్వహించు	organize, execute
48	'అరుచ్‌	shout (v.)
48	కంగారు.	confusion
48	మొరుగు	bark (v.)
48	కంగారుపడు.	confuse (v.intr.)
48	అర్హం	meaning
48	లెక్క	mathematical problem;
48	గమ్మత్తు	funny
49	'పాటకచేరి	music concert
49	చెరి	each
49	ఇష్టం	willingness
49	తెగు	cut (v. intr)
49	శాస్త్రియ సంగీతం	classical music
49	కుట్టు	stich (v)
49	లలిత సంగీతం	light music
49	వేరు	different
49	వాయించు.	play on a musical instrument(v)
50	ఇటీవల	recently
50	ఏటవాలు	slope
50	కొండ.	hill
50	వల్ల	due to, because of
50	సరదా	happy; fun
50	పాదం	foot
50	మెట్టు	step (n.)
50	దొర్లు	roll (v. intr.)
50	సులభం	easy
50	కూలబడు.	collapse, fall down
50	తలా	each
50	పాద	bush
50	రాళ్లు	stones
50	ఇంక	hereafter
50	పోటి	competition
50	నిర్ణయించు	decide
50	రాయి	stone
50	మానుకో	give up
50	రాతి	obl. base of
50	రాయి	manner
50	విధం	manner
50	ఎత్తు	lift up
50	ముగింపు	conclude
50	పందెం	experience (n.)
50	అనుభవం	experience (n.)
50	ప్రయత్నం	effort
50	పర్పు	purse (n.)
50	ప్రయత్నించు	try
50	స్పీడు	speed
50	తేలు	scorpion
50	పచ్చ	green
50	కుట్టు	sting (v.)
50	హఠాత్తుగా	suddenly
50	వదులు	leave (v.)
50	మాత్రం	even. only
50	నేల	ground, floor
50	చూసుకో	take care of
51	ప్రోగ్రామ్‌	programme
51	అమ్ము	to sell (v.tr.)
51	మొదలుపెట్టు	to begin; to commence
51	లక్ష	a lakh
51	వేలు,	thousands (plural form
51	'మొదలుకా	to begin; to commence
51	స్టలం	small piece of land for
51	కార్యక్రమం	programme
51	నిరుడు	last year
51	'పైఖర్చులు	other expenses; over-
51	ట్రాన్స్‌ఫర్‌	a transfer (n.)
51	రిజర్వేషన్‌	reservation
51	ఖర్చుకా	to incur an expenditure
51	తెల్లవారుజామున	in the early morning
51	పైపైన	superficially
51	డ్యూటీ	duty
51	రిపేరు	repair (n.)
51	-అట	reporting particle mean-
51	ఖర్చుపెట్టు	to spend
51	ధర	price
52	'ప్లాట్‌ఫారమ్‌	platform
52	విడుచ్‌	to leave
52	దాటు	to cross (v.tr.)
53	దాచు	to keep in a secret
53	అయినా	though; although; even
53	నోరు	mouth
53	నమ్మకం	belief
53	తోచు	to be able to while away
53	కదులు	to move (v.intr.)
53	తరుగు	to cut (vegetables)
53	వండు	to cook
53	పద్యం	a poem
53	రిజల్టు	result
54	తెల్లవారు.	to dawn
54	సుర్యాస్తమయం	the sunset
54	'పొద్దుగూకు	to set (as the sun)
54	'పొద్దుపో	to become dark (as in
54	సూర్యుడు	the sun
54	పొద్దు	the sun
54	'అర్జంకా	to be understood
54	'పొద్దుపాడుచ్‌	to dawn
54	తెల్లవారుజాము	early morning
54	సూర్యోదయం.	the sunrise
54	జ్ఞానం	knowledge
54	పొద్దెక్కు	to become bright (as the
54	వేళ	time
54	'పొద్దువాలు	de- to become evening
55	మేక	goat
55	జంతుప్రదర్శనూల	zoo
55	జామ	guava (adj.)
55	ఆవరణ	campus
55	'నోరూరు	secrete or run with wa-
55	మింగు	to swallow
55	శరీరం.	body
55	విసురు	to throw
55	లాగు.	to pull
55	కాకీ	crow
55	బతుకు	to be alive; to survive
55	జారు	to slip (v. intr.)
55	కొద్ది	little
55	కోప్పడు	to scold
55	చావు	to die
55	భయపడు	to be afraid of; to get
55	స్తానిక	local
56	లేపు	to raise; to lift; to make
56	చేతకా	to be able to do some-
56	దింపు	to make someone to get
56	బలపం	slate-pencil
56	తుంచు	break (something like a
56	చించు	to tear (v.tr.)
56	గాలిపటం.	a kite
56	తెంపు,	to break (a rope/thread)
56	పెన్సిలు	a pencil
56	'చీకటిపడు.	to become dark (as in
56	విరుచ్‌	to break (something like
56	స్విచ్చి	a switch
56	తునుగు,	to break (v.intr.)
56	వెలుగు	to glow; to burn (like a
56	పోట్లాడు	to quarrel
56	చిక్కగా	thickly (adv.)
56	వెలిగించు.	to lit/light (a lamp) (v.tr.)
56	కలుపు	to mix (v.tr.)
56	కదిలించు.	to move (v.tr.)
56	చిక్కటి	thick (adj.)
56	తడుపు.	to make wet
56	చంపు	to kill
57	చేత	by
57	'సెయిలుకా.	to fail (v.intr.)
57	బలవంతం	compulsion
57	అవస్ట	difficulty
57	పోట్లాట	a quarrel
57	ఆచూకీ	whereabouts
57	మాల	a garland
57	తగిన	suitable
57	అడ్డం	obstruction; hindrance
57	బహుమతి	a prize; a reward (n)
58	తిరిగి ఇవ్వు	to give back; to return a plate
58	పళ్ళిం	to give back; to return a plate
58	గిన్నె	(something) a pan/bowl/vessel
58	లోకం	the world
58	చెంచా	a spoon
58	రక్తం	blood
58	ఊరికెనే,	free of cost; without any
58	చెక్కు	to mend (a pencil); to
58	వాడు	to use
58	ఉంచు.	to keep; to place
59	పూర్వం	long ago
59	విధించు	to impose
59	సామ్రాజ్యం	kingdom
59	ఒప్పుకో	to accept
59	రాజు	king
59	వాక్యం	sentence
59	పరిపాలించు	rule (v)
59	మహారాజు	great king
59	ఆస్టానం	royal court
59	తమరు	you (most honorific)
59	అష్టదిగ్గజాలు	the eight mythological
59	సార్వభౌముడు,	emperor
59	తమ,	your (most honorific))
59	గొడ్రాలు	a barren woman
59	పతివ్రత	woman loyal to her hus-
59	తరుచు	often
59	ప్రకారం	according to
59	చిక్కు	difficult (adj.)
59	విలువైన	valuable
59	సమాధానం	answer (n.)
59	హారం	necklace
59	సభ	royal court
59	'బహూకరించు	to present (v.tr.)
59	బహుమానం	a reward; a prize
59	పొరపాటు	mistake (n)
59	సెలవు,	permission
59	సినీతార	cine-star
59	శిక్ష	punishment
60	వివాహం	marriage
60	కీ ఇవ్వు	to wind (a clock)
60	అనువాదం	translation
60	వాచి	a wrist-watch
60	అనుసరణ	following (a pattern)
60	పూట	a part of the day
60	హామీ	assurance
60	ఐడియా	idea
60	పత్రం	a document
60	రహస్యం	secret
60	నటజీవితం	acting career; profes-
60	'దాచిపెట్టు	to hide (v. tr.)
60	కటు	seat
60	చిత్రం	picture; cinema
60	'గోడకుర్చీ	leaning on a wall with
60	సీను	a scene
60	నటించు	to act
60	మొహంమొత్తు	to get fed up
61	అపూర్వ	unforeseen; novel (adj.)
61	ఇసుక	sand
61	స్వయం	self (adj.)
61	తోపు	a garden; a grove
61	ఉపాధి	employment; livelihood
61	కిరాయి.	hire (n)
61	కల్పన	creating
61	మలమూత్రాలు	excreta
61	కె	for;
61	కోసం	manure (n)
61	ఎరువు	manure (n)
61	నిరుద్యోగి	unemployed person
61	పనికిరా	to be useful
61	బుణం	loan;
61	అప్పు	owner
61	యజమాని	owner
61	బ్రాంచి	branch (n)
61	ఉచితంగా	free of cost;
61	వక్తి	a person
61	మేత	fodder
61	గాడిద	a donkey
61	చొప్పున	at the rate of
61	కొనుక్కో	to purchase (for self)
61	చెల్లించు.	to pay; to remit
61	చోట	at (in) a place
61	సంపాదించు	to earn
61	ఇటుక	a brick
61	మరి	more;
62	పేద	poor (adj.); a poor per-
62	ఉద్దేశం	aim
62	బీద	disciple (masc.)
62	శిష్యుడు	disciple (masc.)
62	గ్రామం	self (adj.)
62	గ్రామస్తులు	villagers
62	వైద్యం	medical treatment
62	ఇరుగు-పొరుగు	neighbouring
62	సౌకర్యం	facility
62	ఉపయోగపడు	be useful
62	ఇబ్బందిపడు	to struggle; to face diffi-
62	తమ,	of their own
62	కష్టపడు	disease
62	వ్యాధి	disease
62	సన్యాసి	a monk; a
62	నడుపు	to run (v.tr.)
62	బాధపడు	to feel sorry
62	కొన్నాళ్ళు	few days
62	వైద్యశాల	hospital;
62	బీద	poor (adj.); a poor per-
62	ధనవంతులు	rich people
62	పేద	crave; crowd for
62	ఎగబడు	crave; crowd for
62	సాయపడు	to be helpful; to help
62	తాము	themselves
62	'సహాయంచెయ్యి	to beg
62	'యాచించు.	to beg
63	ప్రపంచం	world
63	విమానం	aeroplane
63	పాయ్యి	fire-place
63	ఎగురు	to fly (intr.)
63	సముద్రతీరం	sea-shore
63	'గౌరవార్డం	in the honour of
63	ఠ్రేణి	row; range (n)
63	శిల్పం	sculputre; sculptured fig-
63	సముద్రం	sea
63	తొలుచ్‌	cut in; carve
63	సరికొత్త	very new
63	గుహ	cave
63	అగ్నిపర్వతం	a volcano
63	పోటు	high tide; swell of the sea
63	ఎదట	in front of
63	పడవ	boat
63	పుట్టు	to come into existence;
63	యాత్రికుడు,	tourist
63	సహజ	natural
63	అరుదు	rareness; rarity
63	స్పృతిచిహ్నం	a memorial;
63	శతాబ్దం	century; a period of hun-
63	హోదా	status
63	మార్గం	way; path
63	ద్వీపకల్పం	peninsula
63	మే	May
63	అనేక	many (adj.)
63	తొలి	first
63	శాస్త్రవేత్త	scientist
63	'వైమానికుడు.	pilot of an aeroplane
63	పుట్టుక	birth
63	గౌరవచిహ్నం	symbol of honour
63	గమనించు.	observe
63	ఉత్తర	north (adj.)
63	కెమేరా	camera
63	ప్రాంతం	area
63	-తోసహా	along with; together with
63	సోదరుడు	brother
63	సిద్దంగా	ready (adv.)
63	మొట్టమొదట,	at first
63	ఏప్రేల్‌	April
64	అంగారక గ్రహం	the planet Mars
64	సంభవించు	to happen; to occur
64	భూమి	the earth
64	ప్రతిబింబించు	to reflect
64	రెట్లు	times (as in
64	కనుక	because;
64	సూచన	indication
64	పలచగా	thinly
64	జీవి	living being
64	బొగ్గుపులుసు వాయువు	carbon dioxide
64	మనుగడ	living; life
64	కార్బన్‌ మోనాక్రైడ్‌	carbon monoxide
64	అనుకూలమైన	congenial; favourable
64	ఆవిరి	vapour (n)
64	ప్రమాదకరమైన	dangerous/ harmful
64	ప్రాణవాయువు	oxygen
64	అల్హ్రావయలెట్‌ వికిరణం	ultra violet ray
64	రోదసీ నౌక	a space ship
64	రక్షణ	protection
64	సేకరించు.	collect; gather
64	సూక్ష్మజీవులు	micro-organisms;
64	బహుమానం	a prize
64	ఆర్గాన్‌ వాయువు	argon gas
64	రక్షించు	to protect
64	విదితం కా	to become known
64	జీవౌస్తజ్ఞుడు	biologist
64	ప్రాణి	living being
64	“భావించు	to think
64	ఏర్పడు	to form
64	సజీవం	one which is alive
64	నత్రజని,	nitrogen
64	'మరణయాతన	agony (pain) of death
64	గ్రహం	a planet
64	అనుభవించు	to experience
64	ఉపరితలం	the outer surface
