legacy	rom
Ñ¯ø§Šþ : AÌêV>! C¨ GÐèþÇ ç³#çÜ¢Mæü…?	vinōd :alāgā! idi evari pustakaṁ?
Ñ¯ø§Šþ : ± õÜ²íßý™èþ$Æ>Í õ³ÆóÿÑ$sìý?	vinōd :nī snēhiturāli pērēmiṭi?
´ëç³ : WÇf.	pāpa : girija.
Ñ¯ø§Šþ : ¯èþÐèþ$ÝëPÆæÿÐèþ$…yîþ!	vinōd :namaskāramaṁḍī!
GÐèþÆæÿ$ Æ>Ðèþ$*ÃÈ¢?	rāghavarāvu : namaskāraṁ. īyana
õ³Ææÿ$ Ñ¯ø§Šþ.	rāma : itanu telugu vidyārthi.
Æ>çœ$Ðèþ : Æ>…yìþ! Mæü*Æøa…yìþ.	rāghava : rāṁḍi kūrcōṁḍi.
Æ>Ðèþ$ : Mæü*Æøa Ñ¯ø§Šþ!	rāma : kūrcō vinōd!
Ñ¯ø§Šþ : ÐéÆæÿ$ GÐèþÆæÿ…yîþ?	vinōd :vāru evaraṁḍī?
Ñ¯ø§Šþ : ÒÆæÿ$?	vinōd :vīru?
ÒÇ õ³Ææÿ$ A¯èþçÜ*Äæý$V>Ææÿ$.	rāma : rāghavarāvu ammagāru.
Ððþ…Mæü{sêÐé?	sārathi : rāghavā! itanevaru?
Ððþ…Mæü{sêÐé?	veṁkaṭrāvā?
ÝëÆæÿ¤ : Ò$ ™é™èþV>Ç õ³ÆóÿÑ$sìý »êº*!	sārathi : mī tātagāri pērēmiṭi
ÝëÆæÿ¤ : Ò$ ™é™èþV>Ç õ³ÆóÿÑ$sìý »êº*!	bābū!
Æ>Ðèþ$ : Væü…V>«§æþÆæÿ…V>Ææÿ$.	rāma : gaṁgādharaṁgāru.
Ðèþ$¯èþÐèþyìþÐé?	sārathi : alāgā! nuvvu gaṁgādharaṁ
Ðèþ$¯èþÐèþyìþÐé?	-gāri manavaḍivā!
Æ>Ðèþ$ : AÐèþ#¯èþ…yîþ!	rāma : avunaṁḍī!
´ëç³ : ¯óþ¯èþ$ ÝëÆæÿ¤V>Ç Ðèþ$¯èþÐèþÆ>Í°.	pāpa : nēnu sārathi gāri manavarālini.
2. BÐðþ$ Ðèþ$¯èþÐèþyìþ õ³ÆóÿÑ$sìý? (ïÜ¯èþ$) ÆæÿÑ ™èþ…{yìþ õ³ÆóÿÑ$sìý? (ÕÐèþÄæý$Å)	āme manavaḍi pērēmiṭi? (sīnu) ravi taṁḍri pērēmiṭi? (śivayya)
3. BÄæý$¯èþ ™é™èþV>Ç õ³ÆóÿÑ$sìý?(Æ>Ðèþ#V>Ææÿ$) ÆæÿÑ ™èþ…{yìþ õ³Ææÿ$ ÕÐèþÄæý$Å.	āyana tātagāri pērēmiṭi? (rāvugāru) ravi taṁḍri pēru śivayya.
4. BÐðþ$ Möyæþ$Mæü$ õ³ÆóÿÑ$sìý? (WÇ) 1. çÜ$Væü$×ý ™èþÍÏ õ³ÆóÿÑ$sìý? (ïÜ™èþ)	āme koḍuku pērēmiṭi? (giri)
MæüÐèþ$Ë GÐèþÇ ¿êÆæÿÅ? (¯ðþ{çßý*) ± õÜ²íßý™èþ$yìþ õ³ÆóÿÑ$sìý? (ÆæÿÑ)	kamala evari bhārya? (nehrū) nī snēhituḍi pērēmiṭi? (ravi)
MæüÐèþ$Ë ¯ðþ{çßý* ¿êÆæÿÅ. ¯é õÜ²íßý™èþ$yìþ õ³Ææÿ$ ÆæÿÑ.	kamala nehrū bhārya. nā snēhituḍi pēru ravi.
1. Ë™èþ GÐèþÇ Ðèþ$¯èþÐèþÆ>Ë$? (Æ>Ðèþ$-Äæý$Å) 1. ± õÜ²íßý™èþ$Æ>Í õ³ÆóÿÑ$sìý? (ÑfÄæý$)	lata evari manavarālu? (rāmayya) nī snēhiturāli pērēmiṭi? (vijaya)
2. ÝëÆæÿ-¤V>Ææÿ$ GÐèþÇ ™èþ…{yìþ? (ÆæÿÑ) 2. ÒÇ õ³ÆóÿÑ$sìý? (çßýÇV>Ææÿ$)	sārathigāru evari taṁḍri? (ravi) vīri pērēmiṭi? (harigāru)
3. çÜ$Væü$×ý GÐèþÇ ¿êÆæÿÅ? (Vøí³) 3. ÐéÇ õ³ÆóÿÑ$sìý? (WÇV>Ææÿ$)	suguṇa evari bhārya? (gōpi) vāri pērēmiṭi? (girigāru)
4. çÜ$»ê¾Æ>Ðèþ# GÐèþÇ Ðèþ$¯èþÐèþyæþ$? (Ðèþ$*Ç¢) 4. ± õÜ²íßý™èþ$yìþ õ³ÆóÿÑ$sìý? (Ñ¯ø§Šþ)	rāvu evari manavaḍu?  (ṁūrti) nī snēhituḍi pērēmiṭi?(vinōd)
ÆæÿÑ, ^ðþç³š!	ravi, ceppu!
ÆæÿÑV>Ææÿ*, ^ðþç³µ…yìþ!	ravigārū ceppaṁḍi!
1. çÜ$Væü$×ê, ^ðþç³š! 2. ÑfÄæý*, Mæü*Æøa! 3. Ððþ*çßý¯Œþ, Æ>!	suguṇā, ceppu!     vijayā, kūrcō!
A™èþ¯èþ$ ÆæÿÑ.	atanu ravi.
A™èþ¯óþ ÆæÿÑ.	atanē ravi.
1. ÐéÆæÿ$ ÔèýÆæÿÃV>Ææÿ$.	vāru śarmagāru.
2. ÒÆæÿ$ Ðèþ*çÙtÆæÿ$V>Ææÿ$. 3. C¨ ± Væü¨.	vīru māsṭarugāru.
A™èþ¯èþ$ çÜ$»ê¾Æ>Ðèþ#.	atanu subbārāvu.
A™èþ¯èþ$ çÜ$»ê¾Æ>Ðé?	atanu subbārāvā?
1. ÐéÆæÿ$ Ò$ ¯é¯èþ²V>Ææÿ$. 2. BÐðþ$ yéMæütÆæÿ$. 3. C¨ ¯é õÜ²íßý™èþ$Æ>Í CË$Ï.	vāru mī nānnagāru. āme ḍākṭaru. idi nā snēhiturāli illu.
1. C¨ ç³#ïÜÞ.	idi pussī
2. ÐéÆæÿ$ ¯éÆ>Äæý$×ý.	vāru nārāyaṇa.
3. ÒÆæÿ$ Æ>Ðèþ$Äæý$ÅV>Ææÿ$.	vīru rāmayyagāru.
1. ¯é õÜ²íßý™èþ$Æ>Ë$ çÜ$Væü$×ý	nā snēhiturālu suguṇa
3. ÐéÇ Ðèþ$¯èþÐèþyæþ$ Ñ¯ø§Šþ.	vāri manavaḍu vinōd.
2. BÄæý$¯èþ Ðèþ$¯èþÐèþÆ>Ë$ WÇf.	āyana manavarālu girija.
4. ± õÜ²íßý™èþ$yìþ õ³Ææÿ$ Æ>çßý$ÌŒý.	nī snēhituḍi pēru rāhul.
A¨ H… ç³#çÜ¢Mæü…?(™ðþË$Væü$)	adi ēṁ pustakaṁ? (telugu) adi telugu pustakaṁ.
1. A¨ H… õ³Ææÿ$? (™ðþË$Væü$)	adi ēṁ pēru? (telugu)
3. A¨ H… ç³#çÜ¢Mæü…? (íßý…©)	adi ēṁ pustakaṁ? (hiṁdī)
2. A¨ H… ç³#çÜ¢Mæü…? (Mæü¯èþ²yæþ)	adi ēṁ pustakaṁ? (kannaḍa)
4. A¨ ç³#çÜ¢Mæü….	adi pustakaṁ.
C¨ GÐèþÇ CË$Ï?(ÐéÆæÿ$)	idi evari illu? (vāru)
C¨ ÐéÇ CË$Ï.	idi vāri illu.
1. A¨ GÐèþÇ MæüË…? (¯é õÜ²íßý™èþ$yæþ$) 2. C¨ GÐèþÇ Væü¨? (™é™èþV>Ææÿ$)	adi evari kalaṁ? (nā snēhituḍu)
3. C¨ GÐèþÇ CË$Ï? (± õÜ²íßý™èþ$Æ>Ë$)	idi evari illu (nī snēhiturālu)
(A™èþ¯èþ$) õ³Ææÿ$ ÆæÿÑ.	(atanu) pēru ravi.
A™èþ° õ³Ææÿ$ ÆæÿÑ.	atani pēru ravi.
(C¨) õ³Ææÿ$ º…r$.	(idi) pēru baṁṭu.
(A¨) õ³Ææÿ$ ç³#ïÜÞ.	(adi) pēru pussī.
(H¨) õ³Ææÿ$ sêÒ$?	(ēdi) pēru ṭāmī?
(ÐéÆæÿ$) õ³Ææÿ$ Æ>Ðèþ$Äæý$Å.	(vāru) pēru rāmayya.
(ÒÆæÿ$) õ³Ææÿ$ ÑfÄæý$.	(vīru) pēru vijaya.
(GÐèþÆæÿ$) õ³Ææÿ$ WÇf?	(evaru) pēru girija?
1. C…¨Ææÿ GÐèþÇ Mæü*™èþ$Ææÿ$?	iṁdira evari kūturu?
2. C…¨Ææÿ GÐèþÇ Ðèþ$¯èþÐèþÆ>Ë$?	iṁdira evari manavarālu?
3. Æ>iÐŒþ GÐèþÇ Ðèþ$¯èþÐèþyæþ$?	rājīv evari manavaḍu?
5. MæüÐèþ$Ë GÐèþÇ ¿êÆæÿÅ?	kamala evari bhārya?
4. C…¨Ææÿ ™èþÍÏ õ³ÆóÿÑ$sìý?	iṁdira talli pērēmiṭi?
6. MæüÐèþ$Ë ¿æýÆæÿ¢ õ³ÆóÿÑ$sìý?	kamala bharta pērēmiṭi?
M>§æþ$	kādu.
1. C¨ MæüËÐèþ*?	idi kalamā?
3. C¨ M>Æÿ$$™èþÐèþ*?	idi kāyitamā?
2. DÄæý$¯èþ yéMæütÆ>?	īyana ḍākṭarā?
4. DÄæý$¯èþ Ðèþ*çÙtÆ>?	īyana māṣṭarā?
C¨ ± ç³#çÜ¢MæüÐèþ*?	idi nī pustakamā?
C¨ ¯é ç³#çÜ¢Mæü… M>§æþ$.	idi nā pustakaṁ kādu.
1. A¨ A™èþ° VæüyìþÄæý*ÆæÿÐèþ*?	adi atani gaḍiyāramā?
3. BÄæý$¯èþ yéMæütÆ>?	āyana dakṭara?
2. BÐðþ$ sîý^èþÆ>?	āme ṭīcarā?
4. A™èþ¯èþ$ ± õÜ²íßý™èþ$yé?	atanu nī snēhituḍā?
A™èþ¯èþ$ ± õÜ²íßý™èþ$yé?	atanu nī snēhituḍā?
AÐèþ#¯èþ$. A™èþ¯èþ$ ¯é õÜ²íßý™èþ$yæþ$.	avunu. atanu nā snēhituḍu.
1. A¨ ± ç³#çÜ¢MæüÐèþ*?	adi nī pustakamā?
3. C¨ Ò$ CÌêÏ?	idi mī illā?
2. BÄæý$¯èþ Ò$ ¯é¯èþ²V>Æ>?	āyana mī nānnagārā?
4. DÄæý$¯èþ Ò$ Ðèþ*çÙtÆæÿ$V>Æ>?	īyana mī māṣṭarugārā?
Ë™èþ Væü¨	javaharlāl taṁḍri pēru mōtīlāl.
fÐèþçßýÆŠÿÌêÌŒý ™èþ…{yìþ	javaharlāl taṁḍri
õ³Ææÿ$	pēru
BÐðþ$	āme
¿æýÆæÿ¢	bharta
õ³Ææÿ$	pēru
ÐéÆæÿ$	vāru
ÒÆæÿ$	vīru
ÐéÇ	vāri
ÒÇ	vīri
H	-ē
&B	-
yéMæütÆæÿ$ B	ḍākṭarā
MæüÐèþ$Ë+B	kamalā
MæüÐèþ$Ìê	kādu
AÐèþ#¯èþ$	avunu
DÄæý$¯èþ yéMæütÆ>?	īyana ḍākṭarā?
DÐðþ$ MæüÐèþ$Ìê?	īme kamalā?
H¨	ēdi
GÐèþÆæÿ$	evaru
G	e
H	ē
GÐèþÆæÿ$	evaru
H¨	ēdi
A¨ HÑ$sìý?	adi ēmiṭi?
A¨ Mæü$MæüP	adi kukka.
A™èþ¯èþ$ GÐèþÆæÿ$?	atanu evaru?
A™èþ¯èþ$ ÆæÿÑ.	atanu ravi.
C¨	adi,
C¨	idi
H¨	ēdi
©°	dāni,
©°	dīni
§óþ°	dēni
C	i
&	lu
©°	gāru
&yæþ$ & &	ḍu
Æ>çœ$ÐèþÆ>Ðèþ# ¯é¯èþ²V>Ææÿ$	rāghavarāvu nānnagāru
fÐèþçßýÆŠÿÌêÌŒý¯ðþ{çßý* ¿êÆæÿÅ	javaharlāl nehrū bhārya
Ððþ*¡ÌêÌŒý Ðèþ$¯èþÐèþÆ>Ë$	mōtīlāl manavarālu
C…¨Æ>V>…«© Möyæþ$Mæü$	inṁdirāgāṁdhī koḍuku
ÆæÿÑ ™èþ…{yìþ	ravi taṁḍri
çÜÆæÿâæý Mæü*™èþ$Ææÿ$	saraḷa kūturu
ÆæÿÑ	mōtīlāl,
ÆæÿÑ	ravi,
Æ>çœ$ÐèþÆ>Ðèþ#	saraḷa
& &	ḍu
&° & &	ni
& &	vi
¯é¯èþ²	nānna
AÌêV>!	amma
¯é¯èþ²	taṁḍri
AÐèþ$Ã	talli
¯é¯èþ²	nānna
™èþÍÏ	amma
™èþÍÏ	talli
Ò$	mī
±	nī
¯é	nā
±	nī
™é™èþ	tāta
H…	ēm
H…	ēm
Æ>	rā
+	rā
+	aṁḍi
+	kūrcō
+	aṁḍi
C	i
B	ā.
B	–
Ðèþ$¯èþÐèþyìþÐé?	gadā?
Væü§é?	pillā?
ÐéÆðÿÐèþÆæÿ$?	vārevaru?
ÐéÆæÿ$ ÔèýÆæÿÃV>Ææÿ$.	vāru śarmagāru.
ÒÆæÿ$?	vīru?
Æ>çœ$ÐèþÆ>Ðèþ# AÐèþ$ÃV>Ææÿ$.	rāghavarāvu ammagāru.
C™èþ¯èþ$ ™ðþË$Væü$ Ñ§éÅÇ¦. õ³Ææÿ$ Ñ¯ø§Šþ.	itanu telugu vidyārthi. pēru vinōd.
A™èþ¯èþ$ ¯é õÜ²íßý™èþ$yæþ$ Æ>çœ$ÐèþÆ>Ðèþ#.	atanu nā snēhituḍu rāghavarāvu.
´ëç³	pāpa
»êº$	bābu
´ë´ë! A¨ H… ç³#çÜ¢Mæü…?	pāpā! adi ēṁ pustakaṁ?
Ò$ ™é™èþV>Ç õ³ÆóÿÑ$sìý »êº*!	mī tātagāri pērēmiṭi bābū!
A	a
Mæü MŠü ^èþ ^Œþ Ææÿ ÆŠÿ ç³ ‹³ Ðèþ ÐŒþ	ka k ca c
™èþ ™Œþ çœ$ ‹œ$ Ðèþ$ ÐŒþ$ çßý ‹ßý	ta t
Q RŒý f gŒý ×ý ×Šý r sŒý	kha kh ja j
º »Œý Ë ÌŒý \ý \Šý pý pŠÿ	ba b la l
Ôèý…MæüÆŠÿ	guṇiṁtaṁ.
AÆæÿ»Œý	guṇiṁtaṁ
A	a
A	guṇiṁtaṁ
çÜÆæÿâæý : ÑfÄæý*! CÑ HÑ$sìý?	saraḷa : vijayā! ivi ēmiṭi?
çÜÆæÿâæý : CÑ G°² ºËÏË$?	saraḷa : ivi enni ballalu?
ÑfÄæý$ : CÑ Æðÿ…yæþ$ ºËÏË$.	vijaya : ivi reṁḍu ballalu.
ÑfÄæý$ : Ððþ$$™èþ¢… Ðèþ$*yæþ$ ºËÏË$.	vijaya : mottaṁ mūḍu ballalu.
çÜÆæÿâæý : D ºËÏË$ GMæüPyæþ E¯é²Æÿ$$?	saraḷa : ī ballalu ekkaḍa unnāyi?
çÜÆæÿâæý : AÑ Ðèþ$*yæþ$ Mæü$ÈaË$.	saraḷa : avi mūḍu kurcīlu.
ÑfÄæý$ : B Mæü$ÈaË$ GMæüPyæþ E¯é²Æÿ$$?	vijaya : ā kurcīlu ekkaḍa unnāyi?
çÜÆæÿâæý : B Mæü$ÈaË$ Vøyæþ §æþVæüYÆæÿ E¯é²Æÿ$$.	saraḷa : ā kurcīlu gōḍa daggara unnāyi.
ÑfÄæý$ : AÑ HÑ$sìý?	vijaya : avi ēmiṭi?
çÜÆæÿâæý : HÑ?	saraḷa : ēvi?
ÑfÄæý$ : B Mæü$ÈaÌZ E¯é²Æÿ$$, ^èþ*yæþ$.	vijaya : ā kurcīlō unnāyi. cūḍu.
çÜÆæÿâæý : AÑ MæüÌêË$.	saraḷa : avi kalālu.
ÑfÄæý$ : AÑ G°² MæüÌêË$?	vijaya : avi enni kalālu?
çÜÆæÿâæý : AÑ ¯éË$Væü$ MæüÌêË$.	saraḷa : avi nālugu kalālu.
ÑfÄæý$ : B ò³sñýt Ò$§æþ C…MöMæü MæüË… E…¨.	vijaya : ā peṭṭe mīda iṁkoka kalaṁ
çÜÆæÿâæý : H ò³sñýt Ò$§æþ?	saraḷa : ē peṭṭe mīda?
ÑfÄæý$ : D ò³sñýt Ò$§æþ.	vijaya : ī peṭṭe mīda.
ÑfÄæý$ : AÑ Ððþ$$™èþ¢… G°² MæüÌêË$?	vijaya : avi mottaṁ enni kalālu?
çÜÆæÿâæý : AÑ Ððþ$$™èþ¢… I§æþ$ MæüÌêË$.	saraḷa : avi mottaṁ aidu kalālu.
ÑfÄæý$ : AÑ HÑ$sìý?	vijaya : avi ēmiṭi?
çÜÆæÿâæý : AÑ ç³#çÜ¢M>Ë$.	saraḷa : avi pustakālu.
ÑfÄæý$ : B ç³#çÜ¢M>Ë$ ºËÏÒ$§æþ E¯é²Äæý*?	vijaya : ā pustakālu ballamīda
ÑfÄæý$ : B ç³#çÜ¢M>Ë$ ÌñýMæüP ò³r$t.	vijaya : ā pustakālu lekkapeṭṭu.
ÑfÄæý$ : ± MæüË… ç³#çÜ¢Mæü… Ò$§æþ E…§é?	vijaya : nī kalaṁ pustakaṁ
çÜÆæÿâæý : CÑ Æðÿ…yæþ$; AÑ Ðèþ$*yæþ$.	saraḷa : ivi reṁḍu; avi mūḍu.
ÑfÄæý$ : Ððþ$$™èþ¢… G°²?	vijaya : mottaṁ enni?
çÜÆæÿâæý : I§æþ$.	saraḷa : aīdu.
C¨ VæüyìþÄæý*Ææÿ…. (BÆæÿ$)	idi gaḍiyāraṁ. (āru)
CÑ BÆæÿ$ VæüyìþÄæý*Æ>Ë$	ivi āru gaḍiyārālu.
CÑ BÆæÿ$ VæüyìþÄæý*Æ>Ë$	adi kāyitaṁ (tommidi)
CÑ G°² Mæü$ÈaË$? (Ðèþ$*yæþ$)	ivi enni kurcīlu? (mūḍu)
CÑ Ðèþ$*yæþ$ Mæü$ÈaË$.	ivi mūḍu kurcīlu.
1. CÑ G°² Mæü$MæüPË$? (ç³§æþMö…yæþ$)	ivi enni kukkalu? (padakoṁḍu)
2. AÑ G°² M>Æÿ$$™éË$? (ç³§æþÐèþ$*yæþ$)	avi enni kāyitālu (padamūdu)
3. CÑ G°² MæüÌêË$? (ç³¨õßý¯èþ$)	ivi enni kalālu? (padihēnu)
Mæü$Èa GMæüPyæþ E…¨? (Væü¨ÌZ)	kurcī ekkaḍa uṁdi? (gadilō) kurcī gadilō uṁdi.
1. ç³#çÜ¢M>Ë$ GMæüPyæþ E¯é²Æÿ$$?	pustakālu ekkaḍa unnāyi?
2. Mæü$MæüP GMæüPyæþ E…¨? (ºËÏ ç³MæüP¯èþ)	kukka ekkaḍa uṁdi? (balla pakkana)
3. ºËÏ GMæüPyæþ E…¨? (Vøyæþ §æþVæüYÆæÿ)	balla ekkaḍa uṁdi? (gōḍa daggara)
A¨ JMæü Mæü$Èa. AÑ Æðÿ…yæþ$ Mæü$ÈaË$. Ððþ$$™èþ¢… G°² Mæü$ÈaË$?	adi oka kurcī. avi reṁḍu kurcīlu. mottaṁ enni kurcīlu?
Ððþ$$™èþ¢… Ðèþ$*yæþ$ Mæü$ÈaË$.	mottaṁ mūḍu kurcīlu.
1. A¨ JMæü MæüË…. CÑ ç³¨ MæüÌêË$. Ððþ$$™èþ¢… G°² MæüÌêË$?	adi oka kalaṁ. ivi padi kalālu. mottaṁ enni kalālu?
2. CÑ I§æþ$ M>Æÿ$$™éË$. AÑ Hyæþ$ M>Æÿ$$™éË$. Ððþ$$™èþ¢… G°² M>Æÿ$$™éË$?	ivi aidu kāyitālu. avi ēḍu kāyitālu. mottaṁ enni kāyitālu?
3. CÑ ¯éË$Væü$ ò³sñýtË$. CÑ ç³¨ ò³sñýtË$. Ððþ$$™èþ¢… G°² ò³sñýtË$?	ivi nālugu peṭṭelu. ivi padi peṭṭelu. mottaṁ enni peṭṭelu?
A¨ Mæü$Èa. (Vøyæþ ç³MæüP¯èþ)	adi kurcī. (gōḍa pakkana) ā kurcī gōḍa pakkana uṁdi.
AÑ Mæü$ÈaË$. (Væü¨ÌZ)	avi kurcīlu (gadilō)
B Mæü$ÈaË$ Væü¨ÌZ E¯é²Æÿ$$.	ā kurcīlu gadilō unnāyi.
1. AÑ ºËÏË$. (Vøyæþ §æþVæüYÆæÿ)	avi ballalu (gōḍa daggara)
2. AÑ ç³#çÜ¢M>Ë$. (ºËÏ ç³MæüP¯èþ)	avi pustakālu. (balla pakkana)
3. AÑ M>Æÿ$$™éË$. (ç³#çÜ¢Mæü… Mìü…§æþ)	avi kāyitālu. (pustakaṁ kiṁda)
C¨ ºËÏ. (Væü¨ÌZ)	idi balla. (gadilō)
D ºËÏ Væü¨ÌZ E…¨.	ī balla gadilō uṁdi.
1. CÑ ç³#çÜ¢M>Ë$. (ò³sñýtÒ$§æþ)	ivi pustakālu (peṭṭemīda)
2. C¨ MæüË…. (M>Æÿ$$™èþ… Mìü…§æþ)	idi kalaṁ. (kāyitaṁ kiṁda)
3. CÑ Mæü$ÈaË$. (Vøyæþ ç³MæüP¯èþ)	ivi kurcīlu (gōḍa pakkana)
H¨ Mæü$Èa? (Væü¨ÌZ)	ēdi kurcī? (gadilō)
H Mæü$Èa Væü¨ÌZ E…¨.	ē kurcī gadilō uṁdi?
1. HÑ ºËÏË$? (Vøyæþ §æþVæüYÆæÿ)	ēvi ballalu? (gōḍa daggara)
2. H¨ ç³#çÜ¢Mæü…? (VæüyìþÄæý*Ææÿ… ç³MæüP¯èþ)	ēdi pustakaṁ? (gaḍiyāraṁ pakkana)
3. HÑ M>Æÿ$$™éË$? (ç³#çÜ¢Mæü… Mìü…§æþ)	ēvi kāyitālu? (pustakaṁ kiṁda)
Mæü$ÈaË$ GMæüPyæþ Ðèþ#¯é²Æÿ$$? (B Væü¨ÌZ & D Væü¨ÌZ)	kurcīlu ekkaḍa unnāyi? (ā gadilō - ī gadilō)
Mö°² B Væü¨ÌZ E¯é²Æÿ$$. Mö°² D Væü¨ÌZ E¯é²Æÿ$$.	konni ā gadilō unnāyi. konni ī gadilō unnāyi.
1. MæüÌêË$ GMæüPyæþ E¯é²Æÿ$$? (ò³sñýtÌZ & ò³sñýtÒ$§æþ)	kalālu ekkaḍa unnāyi? (peṭṭelō - peṭṭe mīda)
2. ç³#çÜ¢M>Ë$ GMæüPyæþ E¯é²Æÿ$$? (ºËÏÒ$§æþ & ºËÏ §æþVæüYÆæÿ)	pustakālu ekkaḍa unnāyi? (balla mīda - balla daggara)
Mæü$ÈaË$ GMæüPyæþ E¯é²Æÿ$$? (B Væü¨ÌZ & D Væü¨ÌZ)	kurcīlu ekkaḍa unnāyi? (ā gadilō - ī gadilō)
Mö°² Mæü$ÈaË$ B Væü¨ÌZ E¯é²Æÿ$$. Mö°² Mæü$ÈaË$ D Væü¨ÌZ E¯é²Æÿ$$.	konni kurcīlu ā gadilō unnāyi; konni kurcīlu ī gadilō unnāyi.
1. MæüÌêË$ GMæüPyæþ E¯é²Æÿ$$? (VæüyìþÄæý*Ææÿ… ç³MæüP¯èþ & ò³sñýt §æþVæüYÆæÿ)	kalālu ekkaḍa unnāyi? (gaḍiyāraṁ pakkana - peṭṭe daggara)
2. ç³#çÜ¢M>Ë$ GMæüPyæþ E¯é²Æÿ$$? (ºËÏMìü…§æþ & ºËÏÒ$§æþ)	pustakālu ekkaḍa unnāyi? (balla kiṁda - balla mīda)
Væü¨ÌZ Mæü$MæüP E…¨.	gadilō kukka uṁdi.
Væü¨ÌZ Mæü$MæüPË$ E¯é²Æÿ$$.	gadilō kukkalu unnāyi.
1. ò³sñýtÌZ ¸ùsZ E…¨.	peṭṭelō fōṭō uṁdi.
2. ºËÏ Mìü…§æþ ç³#çÜ¢Mæü… E…¨.	balla kiṁda pustakaṁ uṁdi.
3. ç³#çÜ¢Mæü… Ò$§æþ MæüË… E…¨.	pustakaṁ mīda kalaṁ uṁdi.
Væü¨ÌZ Mæü$MæüP E…¨.	gadilō kukka uṁdi.
Væü¨ÌZ Mæü$MæüP Ìôý§æþ$.	gadilō kukka lēdu.
1. ò³sñýtÌZ ¸ùsZ E…¨.	peṭṭelō fōṭō uṁdi.
2. ºËÏ Mìü…§æþ ç³#çÜ¢Mæü… E…¨.	balla kiṁda pustakaṁ uṁdi.
3. ç³#çÜ¢Mæü… ç³MæüP¯èþ MæüË… E…¨.	pustakaṁ pakkana kalaṁ uṁdi.
MæüÌêË$ ò³sñýtÌZ E¯é²Æÿ$$.	kalālu peṭṭelō unnāyi.
MæüÌêË$ ò³sñýtÌZ ÌôýÐèþ#.	kalālu peṭṭelō lēvu.
1. ¯é ç³#çÜ¢M>Ë$ ºËÏ Ò$§æþ E¯é²Æÿ$$.	nā pustakālu balla mīda unnāyi.
2. ™èþË$ç³# §æþVæüYÆæÿ Æðÿ…yæþ$ Mæü$MæüPË$ E¯é²Æÿ$$.	talupu daggara reṁḍu kukkalu unnāyi.
3. ò³sñýt Mìü…§æþ M>Æÿ$$™éË$ E¯é²Æÿ$$.	peṭṭe kiṁda kāyitālu unnāyi.
¯èþ$Ðèþ#Ó Æðÿ…yæþ$ MæüÐèþÆæÿ$Ï ¡çÜ$Mæü$Æ>.	nuvvu reṁḍu kavarlu tīsukurā.
Ò$Ææÿ$ Æðÿ…yæþ$ MæüÐèþÆæÿ$Ï ¡çÜ$Mæü$Æ>…yìþ.	mīru reṁḍu kavarlu tīsukurāṁḍi.
1. ¯èþ$Ðèþ#Ó D Mæü$ÈaÌZ Mæü*Æøa.	nuvvu ī kurcīlō kūrcō.
3. ¯èþ$Ðèþ#Ó ± õ³Ææÿ$ ^ðþç³š.	nuvvu nī pēru ceppu.
2. ¯èþ$Ðèþ#Ó D MæüÐèþÆæÿ$ ¡çÜ$Mø.	nuvvu ī kavaru tīsukō.
4. B ºËÏ Ò$§æþ ^èþ*yæþ$.	ā balla mīda cūḍu.
C¨	idi
JMæü	oka
ç³#çÜ¢Mæü…	pustakaṁ
A¨	adi
Æðÿ…yæþ$	reṁḍu
MæüË…	kalaṁ
CÑ	ivi
ç³§æþÐèþ$*yæþ$	padamūḍu
Mæü$Èa	kurcī
AÑ	avi
™öÑ$Ã¨	tommidi
™èþË$ç³#	talupu
VæüyìþÄæý*Ææÿ…	gaḍiyāraṁ
ºËÏÒ$§æþ	balla mīda
Ìôý§æþ$	lēdu
Væü¨ÌZ	gadilō
ÌôýÐèþ#	lēvu
MæüÌêË$	kalālu
ç³#çÜ¢Mæü… ç³MæüP¯èþ	pustakaṁ pakkana
E…¨	uṁdi
ºËÏ Mìü…§æþ	balla kiṁda
E¯é²Æÿ$$	unnāyi
B ç³#çÜ¢M>Ë$ ºËÏ Ò$§æþ E¯é²Äæý*? (Væü¨ÌZ)	ā pustakālu balla mīda unnāyā? (gadilō)
1. B MæüÌêË$ ò³sñýtÌZ E¯é²Äæý*? (ò³sñýt Ò$§æþ)	ā kalālu peṭṭelō unnāyā? (peṭṭe mīda)
2. D Mæü$ÈaË$ Væü¨ÌZ E¯é²Äæý*? (B Vøyæþ §æþVæüYÆæÿ)	ī kurcīlu gadilō unnāyā? ( ā gōḍa daggara)
3. D M>Æÿ$$™éË$ ç³#çÜ¢Mæü… Mìü…§æþ E¯é²Äæý*? (ç³#çÜ¢Mæü… Ò$§æþ)	ī kāyitālu pustakaṁ kiṁda unnāyā? (pustakaṁ mīda)
¯é ç³#çÜ¢Mæü… GMæüPyæþ$…¨?(ºËÏ Ò$§æþ) ºËÏÒ$§æþ E…¨; ^èþ*yæþ$!	nā pustakaṁ ekkaḍuṁdi?
1. A™èþ° MæüË… GMæüPyæþ$…¨? (ò³sñýtÌZ) 3. Ðèþ* ç³#çÜ¢M>Ë$ GMæüPyæþ$¯é²Æÿ$$?	atani kalaṁ ekkaḍuṁdi?
(ºËÏÒ$§æþ)	(ballamīda)
